,IS,EvS,ElS,RS,RL,PS,DS,Dst,FS,JL,CC,TC,Tcst,IP,D_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Co,O_Co,R_Co,C_Co,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
R_Rel,0.304980646,0.335371493,0.354924126,0.346929058,0.324132498,0.324392834,1,0.352841435,0.459980132,0.331144452,0.324413387,0.329363204,0.353872504,0.32747919,0,0.028499983,0.002274518,0.002120371,0.001723016,0.010423732,0.002253965,0.000530949,0.001428425,0.001558593,0.003093207,0.001335937,0.001270853,0.00375775,0.000705649,0.029311821,0.001277704,0.002747234
R_RF,0.463156747,0.432545392,0.430128624,0.422535738,0.424482232,0.478442181,1,0.407399794,0.64028777,0.384764396,0.411367529,0.441281261,0.4541873,0.407303248,0,0.110763337,0.007511913,0.008122333,0.00578654,0.077308543,0.009536267,0.006334673,0.010018998,0.008994363,0.018144445,0.008383942,0.003880532,0.011152636,0.00222679,0.012111869,0.006228783,0.009875736
R_WCC,0.140048164,0.11384758,0.108162235,0.089633142,0.083368505,0.157989689,0.164874997,0.11181178,0.397080364,0.072130225,0.106333325,0.156864206,0.223085644,0.089657969,0.018653227,0.023651696,0,0.069283415,0.047824756,0.190388705,0.026589538,0.032531427,1,0.017213271,0.060287826,0.032738317,0.209323303,0.055007986,0.034327234,0.076756292,0.045838609,0.065609044
