,IS,EvS,ElS,RS,RL,PS,DS,Dst,FS,JL,CC,TC,Tcst,IP,D_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Co,O_Co,R_Co,C_Co,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
D_Rel,0.284535183,0.255890931,0.258653575,0.269071221,0.195048624,0.258059136,1,0.247119752,0.253068416,0.231711385,0.248907345,0.244874569,0.246700651,0.215674367,0.038056912,0.004571619,0.004618661,0.255266557,0.001133283,0.002377755,6.84E-05,0.001932995,0.003682099,6.41E-05,0,0.008236612,0.007569472,0.005302907,0.007526707,0.006684229,0.006855291,0.012222346
D_RF,0.082183342,0.011844915,0.005465199,0.010226713,0.004167351,0.072745195,0.346177646,0.005541865,0.015056678,0,0.011080992,0.012110509,0.032123104,0.006081266,1,0.07548327,0.085370462,0.116535239,0.0639724,0.067616779,0.06959367,0.087911396,0.080381688,0.081906796,0.102291769,0.098625486,0.078834675,0.078574558,0.098428345,0.063882044,0.103376047,0.110240403
D_WCC,0.267081837,0.029204452,0.053128336,0.028265335,0.057745226,0.059164395,0.227594312,0.018832189,0.038194271,0.035975016,0.029212322,0.080137143,0.054757364,0.003284288,0.048605883,0.006642026,0.070258047,0,0.045927562,0.033939388,1,0.016668022,0.078586812,0.093686141,0.615271413,0.098135144,0.018687911,0.049788961,0.042853133,0.023031985,0.021484278,0.088591822
