,IS,EvS,ElS,RS,RL,PS,DS,Dst,FS,JL,CC,TC,Tcst,IP,D_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Co,O_Co,R_Co,C_Co,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
C_Rel,0.03555883,0.015838373,0.01711637,0.025524143,0.012795326,0.020332341,1,0.016583274,0.018446552,0.080604926,0.01343279,0.021970511,0.023928948,0.012006426,0.000631325,0.000103345,0.003647768,0.0006743,0.000339708,0.001251394,0.000713182,0.000870757,0.000563792,0.000221015,0.001213535,0.000611884,0.000807318,0.000780714,0,0.00093215,0.001331205,0.020280157
C_RF,0.320368148,0.210885309,0.195784081,0.197256334,0.182563592,0.341358387,1,0.205196286,0.176274605,0.330354787,0.134226046,0.181618967,0.255418826,0.200545499,0.026194184,0.003655101,0.486319964,0.011501442,0.033019309,0.034414971,0.010301514,0.024892134,0.036257414,0.053035138,0.021028534,0.015152289,0.019432885,0,0.03598509,0.034095841,0.032853362,0.293654846
C_WCC,0.021307464,0.033809155,0.034305878,0.043455916,0.035577195,0.004817233,0.006336911,0.002370502,0.057081381,0.017439416,0.052544478,0.051644474,0.032082918,0.037662449,0.030051763,0.0397059,0.033858335,0.038164091,0.005163956,0.005813139,0.050488732,0.032478822,0.062078123,1,0.020136968,0.033324727,0,0.017692695,0.027194374,0.018725487,0.031357506,0.025089447
