,IS,EvS,ElS,RS,RL,PS,DS,Dst,FS,JL,CC,TC,Tcst,IP,D_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Co,O_Co,R_Co,C_Co,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
C_Rel,0.087314511,0.055729138,0.052692863,0.070072493,0.0497942,0.059405836,1,0.058340229,0.060998954,0.123603375,0.051247942,0.064763864,0.072074917,0.049367252,0.008807137,0.005199246,0.02147269,0.005185132,0.005114562,0.001335537,0.00371904,0.005583852,0.003936042,0.006061964,0.005195717,0.007369273,0.005171018,0,0.009869216,0.005407427,0.003290327,0.081159042
C_RF,0.339369928,0.226621662,0.215194823,0.219156712,0.200093362,0.34985118,1,0.223729043,0.193103201,0.348139548,0.155323614,0.200013565,0.272336996,0.218725812,0.041378402,0.040971441,0.423196004,0.002086675,0.020503675,0.046856422,0.018752145,0.005130906,0.028511239,0.033462603,0.016110885,0.018365132,0.036004117,0.002026828,0.032078137,0.03002338,0,0.307854356
C_WCC,0.049814018,0.0576051,0.053426403,0.062393012,0.050757872,0.013449914,0.021751535,0,0.083556784,0.011060248,0.0662242,0.075778572,0.057060239,0.061277549,0.092952417,0.058776337,0.068043263,0.081094184,0.071385363,0.029997383,0.045137652,0.062916422,0.050191559,1,0.065263185,0.075379579,0.060282212,0.03012609,0.050071433,0.065915302,0.05179182,0.04192855
