,IS,EvS,ElS,RS,RL,PS,DS,Dst,FS,JL,CC,TC,Tcst,IP,D_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Co,O_Co,R_Co,C_Co,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
R_Rel,0.216171645,0.240987146,0.269843334,0.262572833,0.227253598,0.222425986,1,0.270079411,0.371127389,0.236819866,0.242509674,0.252247012,0.248774279,0.241777492,0.000882724,0.041847289,0,0.002093904,0.000718496,0.008478259,0.000181335,0.002128118,0.001419886,0.000147121,0.001772291,0.001392515,0.001508843,0.001943362,0.001748341,0.003873038,0.002829508,0.001197494
R_RF,0.443116068,0.374797489,0.383194469,0.374110398,0.360343256,0.465135538,1,0.350420211,0.642777585,0.315957154,0.354940549,0.376001707,0.396256437,0.348192588,0.014985824,0.367286495,0.01329341,0.029118209,0.014110687,0.110806139,0,0.028156281,0.024876324,0.00751461,0.023820373,0.019198779,0.004238269,0.016989238,0.028329862,0.017907771,0.047101921,0.005232743
R_WCC,0.16335037,0.129955838,0.107560496,0.09576738,0.083726162,0.240311616,0.248399742,0.098678443,0.491572801,0.102846557,0.1228932,0.135893746,0.238839544,0.112654857,0.074860649,0.037612266,0.056120677,0.046097355,0.004713938,0.213251956,0.04297127,0.064423824,1,0.054301262,0.085512496,0.062190906,0.064539605,0.04788369,0.040771432,0.059561025,0.053292314,0
