Sample,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC
400,0,644,0,1000,1000,1000,1000,1000,527,610,648,993,767,911,777,1000
401,566,880,581,904,999,999,1000,1000,438,702,483,813,618,638,817,1000
402,0,651,0,855,999,999,1000,1000,285,647,544,445,580,799,589,999
403,55,812,55,875,999,999,1000,1000,532,600,732,890,692,692,940,999
404,0,694,0,1000,1000,1000,1000,1000,584,657,716,979,666,703,807,997
405,43,688,43,1000,999,999,1000,1000,374,603,784,585,479,485,739,994
406,369,611,396,1000,1000,1000,1000,1000,581,599,843,987,661,726,757,999
407,369,611,399,997,999,999,1000,1000,419,609,710,676,709,720,884,1000
408,0,809,0,1000,999,999,1000,1000,494,628,750,801,808,834,904,1000
409,492,807,508,1000,1000,1000,1000,1000,463,679,539,754,746,809,818,998
410,531,533,934,1000,1000,1000,1000,1000,438,601,842,708,681,692,867,1000
411,78,901,78,1000,1000,1000,1000,1000,505,597,625,994,464,474,726,1000
412,367,609,395,1000,998,998,1000,1000,425,565,819,702,809,810,972,1000
413,850,853,990,1000,1000,1000,1000,1000,548,674,650,905,502,504,795,1000
414,46,677,46,1000,1000,1000,1000,1000,222,698,481,352,688,694,913,1000
415,398,667,417,1000,999,999,1000,1000,460,668,735,705,498,548,624,999
416,726,790,836,1000,999,999,1000,1000,530,564,757,957,742,768,848,1000
417,491,807,508,1000,1000,1000,1000,1000,478,617,711,745,734,892,743,1000
418,817,862,891,1000,999,999,1000,1000,548,629,771,878,729,732,954,1000
419,804,818,989,985,999,999,1000,1000,558,617,712,994,769,775,929,1000
420,56,819,56,1000,998,998,1000,1000,545,598,847,894,354,615,358,909
421,55,812,55,1000,1000,1000,1000,1000,423,683,492,720,748,748,975,1000
422,0,822,0,1000,999,999,1000,1000,549,625,752,867,574,588,787,1000
423,77,881,77,950,999,999,1000,1000,229,632,751,348,856,887,915,1000
424,543,548,901,1000,1000,1000,1000,1000,579,623,781,968,549,563,756,1000
425,0,654,0,1000,1000,1000,1000,1000,515,574,671,997,842,864,938,987
426,828,830,986,1000,999,999,1000,1000,517,615,625,965,800,800,989,1000
427,44,681,44,1000,999,999,1000,1000,178,707,555,280,592,671,686,999
428,573,876,583,988,997,997,1000,1000,434,659,466,991,806,808,970,1000
429,526,531,934,988,1000,1000,1000,1000,274,586,839,465,550,550,870,1000
430,492,804,509,1000,1000,1000,1000,1000,576,612,785,961,590,814,598,1000
431,776,797,911,1000,999,999,1000,1000,383,609,740,617,521,597,610,1000
432,45,625,45,984,998,998,1000,1000,513,578,671,922,277,621,616,480
433,55,809,55,970,1000,1000,1000,1000,396,567,775,601,539,555,834,959
