Sample,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC
667,44,676,44,990,1000,1000,1000,1000,291,628,646,441,740,740,974,1000
668,0,827,0,1000,998,998,1000,1000,398,682,415,978,582,597,917,951
669,762,768,970,994,1000,1000,1000,1000,582,675,687,994,604,678,713,1000
670,0,646,0,1000,999,999,1000,1000,488,666,539,972,775,782,936,1000
671,399,667,417,1000,1000,1000,1000,1000,434,554,756,733,479,728,499,918
672,364,603,396,1000,999,999,1000,1000,282,703,484,441,545,550,818,1000
673,76,885,76,793,999,999,1000,1000,367,651,400,788,760,761,964,1000
674,0,824,0,1000,999,999,1000,1000,253,689,720,392,392,658,406,863
675,493,813,508,1000,999,999,1000,1000,484,706,544,829,345,601,347,997
676,835,858,937,988,1000,1000,1000,1000,544,647,650,929,572,805,580,987
677,545,551,900,1000,999,999,1000,1000,401,634,438,911,447,447,787,1000
678,580,590,937,980,1000,1000,1000,1000,133,624,781,242,842,846,966,1000
679,604,626,837,987,1000,1000,1000,1000,510,543,755,933,688,688,962,1000
680,78,887,78,838,999,999,1000,1000,381,699,443,727,755,755,973,1000
681,43,639,43,1000,1000,1000,1000,1000,231,643,670,331,604,669,930,870
682,0,688,0,954,999,999,1000,1000,540,644,646,983,824,826,974,1000
683,811,853,892,1000,999,999,1000,1000,539,570,758,998,705,742,825,1000
684,589,593,935,1000,999,999,1000,1000,570,650,701,962,812,812,990,1000
685,803,840,977,961,998,998,1000,1000,513,564,770,897,635,646,905,975
686,537,544,900,1000,999,999,1000,1000,388,690,540,614,694,706,873,999
687,532,537,900,1000,999,999,1000,1000,554,593,841,936,723,886,733,1000
688,824,880,892,973,1000,1000,1000,1000,462,710,484,971,713,725,893,1000
689,840,842,990,1000,999,999,1000,1000,386,615,694,599,537,771,543,1000
690,0,691,0,979,1000,1000,1000,1000,421,648,649,653,492,493,787,1000
691,847,849,991,1000,998,998,1000,1000,550,683,718,834,516,583,647,916
692,368,611,395,993,995,995,1000,1000,402,629,436,984,854,884,914,1000
693,611,632,837,1000,999,999,1000,1000,451,642,728,701,573,587,835,968
694,537,544,897,1000,1000,1000,1000,1000,455,662,492,897,678,862,928,793
695,491,804,505,972,1000,1000,1000,1000,456,701,483,970,619,660,768,1000
696,0,687,0,1000,998,998,1000,1000,558,646,729,911,747,760,954,973
697,527,529,940,1000,999,999,1000,1000,418,612,712,666,484,574,547,976
698,395,651,418,996,999,999,1000,1000,497,609,782,786,794,801,946,1000
699,848,867,938,996,999,999,1000,1000,491,615,739,807,696,737,820,1000
700,596,600,944,990,998,998,1000,1000,489,598,734,803,312,568,314,992
701,397,659,418,1000,1000,1000,1000,1000,352,697,483,590,502,747,509,1000
702,492,808,509,997,999,999,1000,1000,420,693,440,979,658,659,949,1000
703,812,850,893,996,1000,1000,1000,1000,484,612,626,835,816,842,909,1000
704,841,868,938,981,999,999,1000,1000,422,606,761,676,486,486,821,1000
705,391,654,413,1000,999,999,1000,1000,437,575,669,702,684,748,780,999
706,0,651,0,1000,1000,1000,1000,1000,508,571,673,998,682,875,709,939
707,599,624,835,984,999,999,1000,1000,439,613,706,708,556,566,809,996
708,56,820,56,1000,998,998,1000,1000,227,676,733,365,722,746,912,956
709,78,881,78,998,998,998,1000,1000,331,603,839,515,798,798,988,1000
710,369,609,396,1000,1000,1000,1000,1000,537,673,611,989,574,617,710,1000
711,728,796,834,998,999,999,1000,1000,509,670,686,785,770,780,939,990
712,556,868,584,846,998,998,1000,1000,392,602,806,644,683,690,911,1000
713,364,605,397,1000,1000,1000,1000,1000,464,613,803,744,640,669,906,947
714,44,632,44,1000,999,999,1000,1000,406,684,438,810,815,825,956,993
715,0,897,0,1000,999,999,1000,1000,546,658,751,845,677,743,776,1000
716,845,850,978,1000,1000,1000,1000,1000,462,678,493,988,787,821,877,998
717,492,796,510,969,998,998,1000,1000,540,631,739,881,783,785,969,1000
718,0,814,0,1000,999,999,1000,1000,467,599,842,751,865,871,971,1000
719,730,800,834,1000,1000,1000,1000,1000,550,643,737,898,863,877,945,990
720,830,873,894,1000,1000,1000,1000,1000,400,689,417,989,721,887,730,998
721,730,793,843,1000,1000,1000,1000,1000,517,595,651,956,470,552,537,985
722,833,860,936,982,999,999,1000,1000,547,581,757,970,655,659,921,993
723,0,658,0,1000,999,999,1000,1000,433,680,493,782,461,469,723,999
724,44,635,44,1000,1000,1000,1000,1000,514,710,555,992,529,545,743,1000
725,842,844,990,1000,998,998,1000,1000,503,592,841,827,583,591,836,1000
726,0,903,0,997,999,999,1000,1000,533,642,650,907,532,607,620,1000
727,533,589,707,1000,999,999,1000,1000,469,662,705,715,574,651,664,1000
728,598,642,759,1000,999,999,1000,1000,559,597,758,997,777,827,844,1000
729,544,548,902,1000,1000,1000,1000,1000,388,708,533,648,707,763,808,998
730,548,578,773,1000,999,999,1000,1000,478,599,759,773,526,608,604,1000
731,392,653,415,992,999,999,1000,1000,365,572,801,590,711,712,967,998
732,824,870,893,1000,1000,1000,1000,1000,523,572,712,980,547,560,832,969
733,542,542,978,1000,1000,1000,1000,1000,529,650,614,969,608,616,850,1000
734,76,876,76,920,1000,1000,1000,1000,517,577,672,991,350,606,353,977
735,755,760,963,1000,1000,1000,1000,1000,540,636,649,996,838,858,922,1000
736,758,779,907,1000,1000,1000,1000,1000,555,604,750,934,795,842,907,954
737,587,590,940,997,1000,1000,1000,1000,542,609,825,888,522,524,807,1000
738,761,767,967,1000,1000,1000,1000,1000,522,641,613,918,548,563,834,958
739,542,548,898,1000,999,999,1000,1000,536,567,756,989,543,549,801,1000
740,543,598,707,1000,998,998,1000,1000,493,585,824,831,513,516,804,992
741,0,815,0,949,999,999,1000,1000,539,576,759,929,769,801,864,1000
742,824,860,982,963,1000,1000,1000,1000,560,637,788,897,331,591,333,1000
743,604,627,838,1000,1000,1000,1000,1000,417,615,589,677,866,879,946,1000
744,45,683,45,1000,999,999,1000,1000,418,671,490,755,526,560,880,896
745,840,842,989,1000,1000,1000,1000,1000,525,567,731,948,532,532,862,1000
746,76,899,76,998,999,999,1000,1000,375,664,613,565,507,510,798,990
747,55,819,55,978,1000,1000,1000,1000,536,588,825,877,577,658,676,1000
748,758,782,905,1000,998,998,1000,1000,403,631,437,971,864,867,985,1000
749,371,612,398,1000,998,998,1000,1000,379,633,612,601,870,875,975,1000
750,595,640,758,1000,999,999,1000,1000,531,572,816,904,783,784,971,1000
751,55,813,55,1000,999,999,1000,1000,524,610,749,853,738,738,970,1000
752,542,548,901,1000,1000,1000,1000,1000,504,548,711,981,483,500,682,1000
753,364,606,397,1000,1000,1000,1000,1000,425,540,736,740,642,642,948,999
754,541,547,901,1000,999,999,1000,1000,381,600,625,631,506,510,767,1000
755,858,863,979,1000,999,999,1000,1000,471,554,712,832,501,505,755,997
756,823,871,891,994,998,998,1000,1000,328,678,715,484,654,659,914,1000
757,539,594,706,1000,1000,1000,1000,1000,435,631,748,683,862,877,942,1000
758,0,885,0,925,1000,1000,1000,1000,533,597,734,903,718,720,950,1000
759,45,687,45,1000,1000,1000,1000,1000,528,647,614,999,800,854,863,979
760,550,581,774,1000,997,997,1000,1000,389,674,414,845,568,576,820,1000
761,76,882,76,994,1000,1000,1000,1000,403,600,731,635,829,829,991,1000
762,0,904,0,1000,999,999,1000,1000,436,681,465,878,478,567,544,1000
763,78,894,78,1000,999,999,1000,1000,374,650,397,862,704,746,822,998
764,56,821,56,886,999,999,1000,1000,243,672,611,374,743,743,973,1000
765,567,568,958,1000,997,997,1000,1000,512,547,738,963,851,870,938,988
766,818,860,894,1000,999,999,1000,1000,534,616,751,856,874,888,947,1000
767,598,645,762,996,999,999,1000,1000,367,674,413,719,746,776,852,1000
768,732,734,983,1000,999,999,1000,1000,497,582,836,815,480,562,551,1000
769,76,891,76,1000,1000,1000,1000,1000,365,644,650,553,520,521,849,996
770,761,783,910,992,999,999,1000,1000,535,578,733,999,480,726,486,1000
771,811,836,936,975,1000,1000,1000,1000,485,655,711,767,742,742,974,999
772,0,821,0,1000,999,999,1000,1000,543,606,784,916,817,840,910,996
773,78,895,78,1000,999,999,1000,1000,575,665,711,927,524,526,806,1000
774,743,748,961,997,999,999,1000,1000,254,664,492,391,834,836,983,1000
775,571,876,580,964,999,999,1000,1000,520,549,757,967,628,842,637,1000
776,45,685,45,1000,998,998,1000,1000,379,707,485,614,474,487,741,963
777,573,884,581,999,1000,1000,1000,1000,582,663,707,958,546,551,819,1000
778,734,735,980,1000,999,999,1000,1000,507,549,711,974,647,651,914,1000
779,0,698,0,1000,999,999,1000,1000,210,602,847,324,408,673,417,999
780,545,602,708,1000,1000,1000,1000,1000,503,540,740,935,650,669,846,974
781,543,597,707,1000,1000,1000,1000,1000,395,698,480,673,617,639,944,944
782,841,858,938,1000,1000,1000,1000,1000,507,598,773,853,512,525,790,961
783,571,878,581,1000,1000,1000,1000,1000,337,619,595,535,695,769,811,937
784,730,796,836,1000,997,997,1000,1000,316,623,771,483,661,686,860,960
785,0,894,0,1000,1000,1000,1000,1000,553,624,774,890,676,689,868,1000
786,538,544,898,1000,999,999,1000,1000,555,584,773,991,582,613,927,920
787,0,658,0,1000,999,999,1000,1000,419,692,441,962,728,784,816,1000
788,0,698,0,907,1000,1000,1000,1000,369,659,416,725,474,530,587,997
789,0,823,0,1000,1000,1000,1000,1000,547,685,732,835,466,466,808,1000
790,394,660,415,1000,1000,1000,1000,1000,400,627,441,830,543,590,675,993
791,540,545,901,1000,999,999,1000,1000,376,635,750,578,467,477,757,959
792,554,584,779,1000,1000,1000,1000,1000,527,557,755,992,537,616,631,1000
793,741,744,968,1000,999,999,1000,1000,495,600,806,825,751,904,761,1000
794,0,816,0,1000,1000,1000,1000,1000,480,663,737,724,856,860,968,1000
795,0,656,0,954,999,999,1000,1000,532,593,714,911,514,517,803,987
796,538,546,903,985,1000,1000,1000,1000,502,617,598,998,379,637,382,994
797,567,872,578,965,998,998,1000,1000,555,609,832,908,876,889,950,1000
798,392,656,413,1000,1000,1000,1000,1000,283,670,684,406,757,771,957,975
799,491,808,504,1000,1000,1000,1000,1000,515,612,749,835,644,645,949,992
800,745,747,983,1000,1000,1000,1000,1000,558,629,751,926,439,440,792,999
801,586,588,939,1000,999,999,1000,1000,329,577,781,513,605,622,812,1000
802,535,591,707,1000,999,999,1000,1000,474,610,750,767,601,606,876,1000
803,555,584,777,1000,1000,1000,1000,1000,427,657,464,997,563,564,881,1000
804,0,905,0,1000,998,998,1000,1000,411,644,441,985,528,546,744,991
805,724,792,834,1000,1000,1000,1000,1000,533,581,775,896,776,795,970,970
806,579,890,583,1000,999,999,1000,1000,288,586,837,471,444,537,518,956
807,369,610,399,1000,999,999,1000,1000,220,616,736,362,727,737,902,1000
808,739,744,962,1000,998,998,1000,1000,74,680,712,143,840,844,975,1000
809,43,681,43,1000,1000,1000,1000,1000,181,677,712,286,597,675,696,1000
810,751,753,985,1000,1000,1000,1000,1000,216,597,806,334,386,641,390,988
811,78,879,78,1000,998,998,1000,1000,436,683,487,808,840,873,903,1000
812,367,611,395,1000,998,998,1000,1000,449,647,613,720,688,691,942,1000
813,56,815,56,1000,1000,1000,1000,1000,224,602,753,357,524,761,529,974
814,849,851,981,1000,1000,1000,1000,1000,403,625,754,593,472,714,483,1000
815,0,665,0,1000,1000,1000,1000,1000,511,571,756,868,733,809,970,897
816,0,826,0,1000,999,999,1000,1000,539,620,678,923,423,676,432,1000
817,0,827,0,1000,999,999,1000,1000,506,724,539,947,348,611,351,999
818,549,578,776,1000,997,997,1000,1000,344,672,460,601,491,575,566,1000
819,55,814,55,1000,1000,1000,1000,1000,581,609,807,985,665,730,761,1000
820,574,574,965,1000,998,998,1000,1000,532,649,704,835,489,490,818,1000
821,598,642,759,1000,1000,1000,1000,1000,375,646,397,999,834,856,920,1000
822,751,755,965,1000,1000,1000,1000,1000,520,671,712,813,718,729,893,1000
823,0,710,0,982,999,999,1000,1000,450,654,491,920,570,571,888,1000
824,78,889,78,824,999,999,1000,1000,538,604,713,914,763,771,930,1000
825,564,569,965,977,1000,1000,1000,1000,536,595,843,896,618,660,768,978
826,0,817,0,968,999,999,1000,1000,76,618,777,147,573,650,670,999
827,847,850,978,1000,999,999,1000,1000,184,678,716,300,611,617,873,1000
828,822,850,935,977,1000,1000,1000,1000,495,606,759,801,805,807,970,998
829,0,658,0,996,1000,1000,1000,1000,559,676,650,997,529,532,787,1000
830,756,780,912,989,999,999,1000,1000,272,689,618,429,315,579,317,1000
831,533,539,899,997,1000,1000,1000,1000,500,584,729,855,653,671,958,951
832,535,591,707,1000,1000,1000,1000,1000,162,706,591,264,699,761,795,998
833,43,639,43,1000,999,999,1000,1000,515,619,749,821,786,833,856,1000
834,593,597,940,986,999,999,1000,1000,429,606,712,684,593,598,866,1000
835,55,811,55,1000,999,999,1000,1000,394,614,438,835,711,879,721,1000
836,820,869,889,1000,1000,1000,1000,1000,459,707,483,944,790,790,985,1000
837,522,523,933,1000,999,999,1000,1000,518,631,614,993,821,833,974,979
838,493,800,509,1000,1000,1000,1000,1000,300,598,758,455,757,909,768,1000
839,536,542,899,1000,1000,1000,1000,1000,589,656,752,952,535,539,798,1000
840,588,592,936,1000,1000,1000,1000,1000,505,554,730,915,834,838,975,1000
841,839,881,900,983,1000,1000,1000,1000,496,672,541,992,492,586,586,905
842,540,545,900,1000,1000,1000,1000,1000,543,601,833,908,722,780,809,1000
843,541,547,898,1000,999,999,1000,1000,562,581,805,994,760,789,858,1000
844,838,842,976,1000,998,998,1000,1000,423,658,443,935,802,802,989,1000
845,765,788,909,1000,1000,1000,1000,1000,491,705,535,930,519,574,640,1000
846,553,581,777,1000,1000,1000,1000,1000,548,612,823,880,559,603,689,987
847,597,641,763,1000,999,999,1000,1000,257,682,613,409,607,813,617,1000
848,599,644,760,1000,999,999,1000,1000,499,647,675,774,697,759,793,999
849,576,887,583,1000,1000,1000,1000,1000,424,701,443,934,611,651,756,1000
850,0,693,0,990,999,999,1000,1000,492,574,673,863,620,733,764,876
851,709,710,979,1000,999,999,1000,1000,518,639,613,912,808,814,970,991
852,494,808,508,1000,996,996,1000,1000,475,618,598,812,473,714,480,1000
853,744,768,904,1000,1000,1000,1000,1000,575,610,782,970,691,699,938,977
854,591,593,939,1000,999,999,1000,1000,500,581,626,936,631,896,746,784
855,855,876,938,1000,999,999,1000,1000,375,703,486,637,459,465,721,1000
856,45,684,45,1000,1000,1000,1000,1000,440,577,671,721,418,461,739,870
857,610,634,835,1000,1000,1000,1000,1000,469,600,621,787,633,660,838,961
858,528,530,934,1000,1000,1000,1000,1000,534,598,689,978,739,748,949,981
859,733,738,962,999,999,999,1000,1000,546,594,732,998,618,618,927,1000
860,368,612,395,1000,1000,1000,1000,1000,500,607,596,948,593,812,604,1000
861,601,645,761,1000,1000,1000,1000,1000,577,601,842,976,466,484,671,1000
862,758,780,906,1000,999,999,1000,1000,538,592,803,906,837,872,897,1000
863,734,802,836,1000,999,999,1000,1000,475,693,533,836,620,636,822,1000
864,0,904,0,1000,999,999,1000,1000,414,642,445,912,588,624,937,917
865,818,861,980,953,1000,1000,1000,1000,497,616,826,804,530,578,658,1000
866,590,634,760,1000,999,999,1000,1000,274,643,397,541,616,622,891,1000
867,0,826,0,895,1000,1000,1000,1000,272,624,785,444,696,709,876,999
868,564,564,957,1000,1000,1000,1000,1000,494,521,740,956,836,846,986,981
869,831,877,895,1000,1000,1000,1000,1000,607,675,751,977,552,558,804,1000
870,0,818,0,961,1000,1000,1000,1000,447,575,821,728,791,797,947,1000
871,55,825,55,1000,1000,1000,1000,1000,522,587,775,865,509,562,631,1000
872,393,657,416,1000,1000,1000,1000,1000,295,659,414,521,833,838,975,996
873,833,851,936,1000,1000,1000,1000,1000,342,681,416,649,547,592,905,890
874,0,907,0,1000,999,999,1000,1000,386,639,444,758,442,539,522,921
875,552,582,776,1000,999,999,1000,1000,416,682,438,968,744,811,977,905
876,547,574,773,1000,998,998,1000,1000,498,527,739,990,837,838,992,999
877,545,601,707,1000,997,997,1000,1000,416,686,440,974,856,873,973,980
878,525,527,936,1000,1000,1000,1000,1000,455,655,492,945,571,582,818,996
879,45,690,45,1000,999,999,1000,1000,457,705,483,995,585,805,597,1000
880,727,803,839,955,999,999,1000,1000,526,574,758,912,576,622,706,999
881,586,588,939,1000,1000,1000,1000,1000,332,558,709,539,756,764,920,1000
882,396,652,419,1000,999,999,1000,1000,576,598,804,986,595,636,741,1000
883,833,836,978,1000,999,999,1000,1000,570,610,762,998,687,871,698,987
884,577,577,968,1000,1000,1000,1000,1000,592,666,740,940,608,681,709,999
885,559,588,777,1000,998,998,1000,1000,506,600,623,956,478,485,729,997
886,745,778,911,963,999,999,1000,1000,308,525,645,570,520,567,646,997
887,0,816,0,932,1000,1000,1000,1000,541,611,693,980,566,737,953,763
888,549,579,775,1000,1000,1000,1000,1000,555,622,702,965,610,647,753,999
889,0,658,0,1000,1000,1000,1000,1000,356,610,750,560,816,842,906,1000
890,604,625,843,1000,1000,1000,1000,1000,297,629,707,448,511,754,518,1000
891,0,697,0,1000,999,999,1000,1000,435,684,610,705,802,843,864,997
892,839,880,900,1000,1000,1000,1000,1000,535,559,778,969,453,540,521,995
893,821,866,893,1000,997,997,1000,1000,577,684,687,908,799,845,863,1000
894,599,643,762,1000,999,999,1000,1000,491,678,543,995,519,540,737,969
895,769,791,909,1000,999,999,1000,1000,512,555,715,933,714,747,827,999
896,749,754,963,1000,999,999,1000,1000,459,633,646,724,677,679,930,1000
897,599,642,760,1000,999,999,1000,1000,418,657,491,758,786,788,970,1000
898,821,860,896,1000,1000,1000,1000,1000,387,651,676,580,772,913,781,1000
899,550,580,776,1000,999,999,1000,1000,461,545,707,807,797,814,954,974
900,747,749,982,1000,997,997,1000,1000,585,682,732,926,511,518,837,960
901,43,690,43,1000,1000,1000,1000,1000,457,711,483,922,584,808,594,1000
902,733,735,969,1000,999,999,1000,1000,516,572,672,991,409,669,419,975
903,742,742,979,1000,999,999,1000,1000,550,616,770,923,800,802,973,1000
904,45,682,45,1000,998,998,1000,1000,384,622,781,608,648,690,789,1000
905,611,636,835,1000,999,999,1000,1000,377,637,397,992,675,687,868,1000
906,733,736,981,1000,1000,1000,1000,1000,581,665,732,938,604,609,877,1000
907,55,812,55,1000,999,999,1000,1000,80,659,750,149,791,795,963,1000
908,56,818,56,1000,998,998,1000,1000,529,677,685,820,600,601,921,999
909,596,643,757,1000,1000,1000,1000,1000,363,585,798,538,700,701,943,1000
910,733,733,978,1000,1000,1000,1000,1000,333,572,829,569,866,870,984,1000
911,533,588,707,1000,999,999,1000,1000,465,593,803,751,713,773,808,998
912,565,566,959,1000,999,999,1000,1000,427,635,647,684,764,764,976,1000
913,43,678,43,1000,1000,1000,1000,1000,220,632,741,351,538,617,621,979
914,828,871,897,1000,999,999,1000,1000,431,669,463,992,550,595,796,906
915,44,682,44,1000,1000,1000,1000,1000,255,666,438,425,450,560,530,923
916,610,634,842,1000,1000,1000,1000,1000,207,665,493,326,674,739,771,999
917,78,887,78,996,1000,1000,1000,1000,513,558,711,945,748,758,916,1000
918,76,878,76,1000,1000,1000,1000,1000,452,704,484,871,777,804,872,1000
919,606,631,837,998,999,999,1000,1000,263,667,738,411,539,541,870,984
920,54,811,54,1000,1000,1000,1000,1000,398,660,491,683,822,865,885,989
921,547,576,773,1000,1000,1000,1000,1000,517,637,706,870,793,795,973,1000
922,752,757,964,1000,999,999,1000,1000,327,671,748,489,744,745,958,1000
923,542,548,899,1000,999,999,1000,1000,133,710,535,218,452,453,797,998
924,56,821,56,1000,998,998,1000,1000,332,689,540,516,557,570,775,1000
925,372,614,398,1000,999,999,1000,1000,514,600,822,838,580,581,905,1000
926,854,856,991,1000,999,999,1000,1000,522,627,674,872,545,576,768,934
927,0,713,0,1000,999,999,1000,1000,259,574,834,398,491,540,619,1000
928,757,777,911,1000,999,999,1000,1000,402,598,846,650,372,622,374,1000
929,728,794,837,1000,999,999,1000,1000,535,572,731,966,664,701,809,995
930,747,750,982,1000,999,999,1000,1000,486,654,648,780,553,556,833,994
931,598,621,835,1000,999,999,1000,1000,574,596,834,973,764,773,925,983
932,0,693,0,999,998,998,1000,1000,563,600,810,949,605,821,616,1000
933,43,647,43,997,1000,1000,1000,1000,558,601,840,930,462,467,755,990
934,533,587,706,1000,1000,1000,1000,1000,118,670,534,210,750,799,826,1000
935,369,612,399,1000,999,999,1000,1000,409,681,443,834,607,623,816,998
936,529,532,939,1000,999,999,1000,1000,425,643,463,989,532,536,857,977
937,0,891,0,999,999,999,1000,1000,421,693,442,935,813,818,970,1000
938,0,654,0,997,1000,1000,1000,1000,336,653,649,510,535,615,616,996
939,0,698,0,1000,999,999,1000,1000,496,620,674,813,545,583,776,922
940,743,747,962,1000,1000,1000,1000,1000,530,610,750,856,858,863,980,1000
941,541,596,707,1000,998,998,1000,1000,501,529,738,962,621,834,635,973
942,547,572,776,1000,999,999,1000,1000,193,670,730,312,738,740,956,1000
943,0,825,0,970,999,999,1000,1000,546,602,785,899,625,707,740,954
944,581,897,586,996,998,998,1000,1000,346,703,446,610,294,566,295,999
945,0,830,0,1000,1000,1000,1000,1000,539,606,693,990,550,554,834,1000
946,850,853,979,1000,999,999,1000,1000,548,593,779,921,494,742,501,1000
947,600,621,835,1000,999,999,1000,1000,67,599,844,126,765,789,870,998
948,0,824,0,1000,998,998,1000,1000,492,695,537,931,737,894,747,1000
949,372,614,398,1000,1000,1000,1000,1000,543,592,735,945,464,708,473,999
950,851,856,977,1000,1000,1000,1000,1000,399,682,418,998,605,611,874,1000
951,0,713,0,1000,999,999,1000,1000,416,604,761,650,390,651,398,1000
952,364,601,396,1000,1000,1000,1000,1000,446,589,805,720,650,655,914,1000
953,586,589,939,995,998,998,1000,1000,532,693,594,934,616,621,885,1000
954,366,607,396,1000,999,999,1000,1000,503,542,711,999,819,821,977,1000
955,592,594,938,1000,999,999,1000,1000,547,590,733,989,695,869,705,1000
956,748,753,965,999,998,998,1000,1000,407,632,438,912,693,699,910,1000
957,43,685,43,1000,998,998,1000,1000,348,673,479,586,762,782,957,968
958,836,853,938,1000,999,999,1000,1000,499,564,710,878,785,812,885,1000
959,491,806,504,1000,999,999,1000,1000,531,652,614,970,772,774,959,1000
960,0,645,0,1000,999,999,1000,1000,371,667,687,548,751,780,855,1000
961,0,824,0,1000,999,999,1000,1000,590,650,740,994,731,789,814,999
962,542,548,894,999,999,999,1000,1000,399,603,770,632,812,813,990,997
963,492,808,508,1000,1000,1000,1000,1000,539,639,648,963,473,536,596,944
964,0,818,0,1000,1000,1000,1000,1000,550,603,784,909,703,759,797,999
965,583,587,938,1000,998,998,1000,1000,186,681,607,309,816,818,975,1000
966,747,754,964,997,1000,1000,1000,1000,184,612,801,291,683,684,930,1000
967,45,642,45,1000,1000,1000,1000,1000,474,593,730,782,609,816,620,991
968,518,529,935,972,1000,1000,1000,1000,530,680,607,938,777,782,959,1000
969,76,893,76,1000,1000,1000,1000,1000,535,619,809,882,504,504,838,999
970,772,856,979,910,999,999,1000,1000,524,621,751,838,532,532,866,998
971,394,659,416,1000,999,999,1000,1000,531,632,643,915,557,569,818,981
972,548,576,773,1000,998,998,1000,1000,548,607,709,981,757,776,966,962
973,0,893,0,999,1000,1000,1000,1000,558,603,761,955,811,820,955,1000
974,752,753,982,1000,1000,1000,1000,1000,443,676,541,764,557,601,840,900
975,763,767,964,1000,1000,1000,1000,1000,202,605,801,338,613,646,906,928
976,845,850,977,1000,999,999,1000,1000,537,613,806,889,794,821,890,1000
977,742,749,983,988,1000,1000,1000,1000,533,595,693,993,471,716,478,998
978,571,859,582,1000,999,999,1000,1000,353,646,398,709,755,755,976,1000
979,595,639,758,997,999,999,1000,1000,335,582,773,527,852,866,939,1000
980,842,844,991,1000,998,998,1000,1000,517,565,714,979,493,744,500,1000
981,0,895,0,1000,1000,1000,1000,1000,346,548,740,571,710,712,929,1000
982,601,640,764,1000,1000,1000,1000,1000,462,642,712,708,549,778,557,997
983,532,537,897,1000,999,999,1000,1000,525,588,691,961,871,877,974,999
984,493,809,507,1000,998,998,1000,1000,522,674,688,800,546,604,806,889
985,55,806,55,1000,1000,1000,1000,1000,561,618,836,898,637,704,744,1000
986,395,651,418,1000,999,999,1000,1000,283,617,750,434,821,842,916,1000
987,55,820,55,1000,1000,1000,1000,1000,592,674,736,945,418,672,427,989
988,847,850,980,1000,1000,1000,1000,1000,384,698,596,595,606,677,709,999
989,55,818,55,1000,1000,1000,1000,1000,217,645,397,378,829,869,886,1000
990,392,658,413,1000,999,999,1000,1000,415,595,754,673,737,748,913,1000
991,759,762,965,1000,999,999,1000,1000,305,696,483,506,626,626,938,1000
992,45,681,45,978,999,999,1000,1000,546,676,688,850,744,748,944,1000
993,736,739,979,997,999,999,1000,1000,304,682,492,495,829,833,975,1000
994,0,689,0,915,999,999,1000,1000,459,699,485,990,858,862,980,1000
995,540,546,899,1000,1000,1000,1000,1000,393,667,413,973,836,853,922,1000
996,0,644,0,1000,1000,1000,1000,1000,522,607,782,837,661,662,952,1000
997,78,902,78,1000,1000,1000,1000,1000,66,714,537,121,474,487,739,961
998,55,819,55,1000,1000,1000,1000,1000,535,580,784,894,431,458,802,902
999,0,669,0,1000,999,999,1000,1000,399,686,620,633,374,633,377,999
1000,606,627,839,1000,999,999,1000,1000,398,672,416,937,659,860,694,935
1001,610,634,835,1000,1000,1000,1000,1000,530,624,704,879,649,660,847,1000
1002,590,636,760,1000,999,999,1000,1000,604,674,733,993,456,460,746,1000
1003,556,585,778,1000,999,999,1000,1000,535,670,734,825,503,504,793,1000
1004,538,546,900,997,1000,1000,1000,1000,546,646,670,954,460,470,716,974
1005,789,888,899,916,999,999,1000,1000,485,690,543,852,521,571,652,995
1006,828,873,894,1000,999,999,1000,1000,527,648,614,975,607,608,917,1000
1007,55,823,55,1000,999,999,1000,1000,554,622,715,935,573,599,802,946
1008,54,817,54,1000,999,999,1000,1000,437,665,490,814,840,844,977,1000
1009,364,605,397,1000,1000,1000,1000,1000,327,670,741,484,470,471,835,984
1010,527,529,935,1000,1000,1000,1000,1000,519,596,832,856,712,770,806,1000
1011,592,594,938,1000,999,999,1000,1000,516,604,673,898,817,840,913,994
1012,56,814,56,1000,1000,1000,1000,1000,499,540,712,999,584,598,805,1000
1013,533,541,897,983,999,999,1000,1000,497,604,705,836,809,811,976,1000
1014,55,819,55,1000,999,999,1000,1000,466,621,712,737,454,561,830,769
1015,0,814,0,1000,999,999,1000,1000,309,675,492,512,852,887,905,1000
1016,852,871,938,1000,1000,1000,1000,1000,437,683,466,995,577,581,846,1000
1017,55,815,55,960,1000,1000,1000,1000,537,571,770,949,677,687,911,1000
1018,834,838,976,1000,999,999,1000,1000,508,613,693,845,842,877,904,1000
1019,577,577,965,1000,999,999,1000,1000,453,553,758,776,638,683,772,998
1020,726,794,834,1000,1000,1000,1000,1000,81,684,611,131,795,806,950,988
1021,596,642,757,1000,1000,1000,1000,1000,363,696,588,573,723,735,942,976
1022,76,890,76,998,999,999,1000,1000,599,669,751,955,617,637,820,1000
1023,760,763,967,1000,999,999,1000,1000,580,676,733,909,764,792,868,1000
