Sample,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC,Name
663,0.08974359,1,0.230769231,0.08974359,0.064102564,0.987179487,0.051282051,0.075542,0.008997,0.024915,4.50E-05,1,1,4,3,0.137966,0.07282,0.072946,0.372685,482,504,731,1000,979,979,1000,1000,169,537,757,276,433,754,839,592,perturbed
664,0.153846154,1,0.256410256,0.08974359,0.012820513,0.987179487,0.038461538,0.026608,0.06713,0.067873,0.031932,1,1,2,3,0.087252,0.064824,0.019812,0.362095,417,779,997,537,973,973,1000,1000,480,494,821,940,673,711,807,1000,perturbed
665,0.076923077,1,0.307692308,0.076923077,0.051282051,1.025641026,0.012820513,0.006929,0.027088,0.009982,0.039563,2,4,3,2,0.079135,0.059956,0.063569,0.38687,276,587,706,433,978,978,1000,1000,0,398,912,0,800,843,865,1000,perturbed
666,0.102564103,1,0.230769231,0.076923077,0.064102564,1,0.012820513,0.016007,0.054315,0.047123,0.003508,3,4,3,3,0.141327,0.128406,0.08601,0.358202,244,469,839,464,977,977,1000,1000,203,601,821,341,608,708,747,903,perturbed
667,0.115384615,1,0.282051282,0.102564103,0.025641026,1.025641026,0.025641026,0.029357,0.013683,0.076201,0.059556,3,1,3,1,0.136301,0.097908,0.044849,0.407389,566,712,978,758,974,974,1000,1000,468,541,893,823,881,886,978,1000,perturbed
668,0.141025641,1,0.243589744,0.08974359,0.012820513,0.987179487,0.012820513,0.058245,0.038778,0.064618,0.036006,3,2,3,2,0.08806,0.072999,0.051686,0.402092,765,779,995,979,974,974,1000,1000,381,535,837,669,874,885,949,1000,perturbed
669,0.153846154,1,0.307692308,0.064102564,0.012820513,1.025641026,0.038461538,0.058828,0.02188,0.046996,0.028896,4,4,1,3,0.113689,0.107657,0.059839,0.416693,775,791,995,974,978,978,1000,1000,442,521,901,746,815,933,819,1000,perturbed
670,0.128205128,1,0.256410256,0.128205128,0.012820513,0.974358974,0.051282051,0.058476,0.01498,0.081274,0.030084,5,3,2,1,0.117416,0.09531,0.058965,0.424041,784,810,990,964,977,977,1000,1000,539,557,791,985,914,914,995,1000,perturbed
671,0.153846154,1,0.256410256,0.064102564,0.012820513,1.038461538,0.012820513,0.014194,0.023569,0.038048,0.037011,1,3,2,3,0.110002,0.066335,0.065723,0.425085,59,789,996,94,979,979,1000,1000,223,500,849,378,845,945,848,1000,perturbed
672,0.128205128,1,0.256410256,0.141025641,0.064102564,1.038461538,0.012820513,0.043884,0.041119,0.073311,0.032375,4,4,2,3,0.128013,0.108486,0.023792,0.416915,432,439,904,960,973,973,1000,1000,500,564,851,851,883,883,996,1000,perturbed
