Sample,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC,Name
0,0.076923077,1,0.256410256,0.141025641,0.051282051,1.012820513,0.064102564,0.014614,0.009681,0.068951,0.024848,2,2,2,2,0.132261,0.119518,0.035178,0.377591,467,590,706,811,973,973,1000,1000,523,553,770,951,722,723,968,1000,perturbed
1,0.102564103,1,0.269230769,0.115384615,0.038461538,0.987179487,0.038461538,0.06819,0.005837,0.036998,0.049326,4,3,1,1,0.069198,0.072409,0.04983,0.389784,563,566,937,996,978,978,1000,1000,386,502,855,640,805,809,970,1000,perturbed
2,0.153846154,1,0.256410256,0.141025641,0.012820513,0.974358974,0.051282051,0.020148,0.011099,0.081917,0.054922,4,4,4,3,0.099664,0.066424,0.080902,0.377499,160,782,996,197,978,978,1000,1000,465,484,822,920,712,712,968,1000,perturbed
3,0.153846154,1,0.230769231,0.08974359,0.012820513,0.974358974,0.051282051,0.023098,0.057289,0.007963,0.026842,3,1,2,2,0.133511,0.060266,0.020109,0.351836,241,809,997,310,975,975,1000,1000,70,500,757,110,610,653,754,1000,perturbed
4,0.128205128,1,0.294871795,0.102564103,0.051282051,0.974358974,0.025641026,0.011849,0.040629,0.007149,0.030275,4,4,1,1,0.072309,0.128935,0.09036,0.357726,195,496,955,274,974,974,1000,1000,1,555,898,3,656,670,844,1000,perturbed
5,0.076923077,1,0.230769231,0.064102564,0.064102564,0.961538462,0.012820513,0.028557,0.009627,0.074553,0.048193,2,4,2,1,0.140268,0.066943,0.082488,0.399696,466,517,665,993,979,979,1000,1000,483,522,809,907,745,900,756,1000,perturbed
6,0.076923077,1,0.294871795,0.141025641,0.051282051,0.987179487,0.012820513,0.022422,0.046341,0.06124,0.035888,1,1,1,2,0.103697,0.117728,0.030118,0.410696,521,585,704,946,977,977,1000,1000,408,535,905,713,869,869,993,1000,perturbed
7,0.102564103,1,0.230769231,0.064102564,0.025641026,1.038461538,0.038461538,0.015159,0.029506,0.050108,0.037751,4,3,2,3,0.116206,0.122718,0.07775,0.403841,244,754,967,276,979,979,1000,1000,501,596,782,789,768,913,777,1000,perturbed
8,0.102564103,1,0.269230769,0.08974359,0.012820513,0.987179487,0.064102564,0.068525,0.053948,0.058993,0.03016,1,2,2,2,0.109303,0.08016,0.083517,0.394251,831,834,977,1000,973,973,1000,1000,484,509,805,912,837,853,926,1000,perturbed
9,0.115384615,1,0.243589744,0.064102564,0.038461538,1,0.064102564,0.048586,0.00523,0.016053,0.057053,1,2,2,2,0.092484,0.074075,0.024023,0.404969,560,561,961,997,978,978,1000,1000,245,527,756,352,774,913,783,1000,perturbed
10,0.141025641,1,0.230769231,0.141025641,0.025641026,1.012820513,0.051282051,0.042611,0.005326,0.03894,0.024099,5,2,2,2,0.108761,0.085804,0.069691,0.407514,641,667,992,934,977,977,1000,1000,444,557,758,712,852,852,993,1000,perturbed
11,0.128205128,1,0.243589744,0.08974359,0.051282051,0.974358974,0.064102564,0.028175,0.05603,0.014092,0.059901,3,5,1,1,0.111811,0.060299,0.036977,0.350543,440,503,958,789,975,975,1000,1000,218,475,755,328,601,641,743,1000,perturbed
12,0.08974359,1,0.282051282,0.08974359,0.012820513,0.974358974,0.064102564,0.051876,0.00374,0.05423,0.0213,3,1,1,3,0.110709,0.119454,0.032482,0.388389,764,846,936,915,974,974,1000,1000,497,539,830,874,817,842,904,998,perturbed
13,0.153846154,1,0.307692308,0.141025641,0.038461538,0.961538462,0.064102564,0.070675,0.042803,0.058592,0.016539,3,3,4,2,0.135524,0.110226,0.063883,0.373018,492,492,992,1000,978,978,1000,1000,439,498,869,798,690,690,963,999,perturbed
14,0.141025641,1,0.269230769,0.115384615,0.012820513,1.012820513,0.051282051,0.066119,0.015856,0.055784,0.011031,4,3,2,1,0.069369,0.075383,0.072734,0.400643,708,712,994,989,977,977,1000,1000,473,507,823,878,858,863,980,1000,perturbed
15,0.08974359,1,0.269230769,0.08974359,0.064102564,0.961538462,0.012820513,0.05205,0.047021,0.060976,0.007956,1,2,4,3,0.07713,0.130545,0.030616,0.411697,477,498,730,1000,980,980,1000,1000,337,570,877,568,897,913,962,989,perturbed
16,0.141025641,1,0.269230769,0.141025641,0.025641026,1,0.064102564,0.008814,0.062423,0.03926,0.04938,1,3,1,1,0.073231,0.081024,0.02993,0.382852,133,624,992,170,973,973,1000,1000,417,504,801,730,749,749,974,1000,perturbed
17,0.102564103,1,0.230769231,0.128205128,0.051282051,1.038461538,0.076923077,0.005968,0.037243,0.073752,0.021889,2,2,1,1,0.123866,0.132265,0.0166,0.382986,99,540,900,155,978,978,1000,1000,509,553,708,971,758,759,964,999,perturbed
18,0.115384615,1,0.243589744,0.064102564,0.064102564,0.987179487,0.076923077,0.075177,0.04604,0.034672,0.009798,4,5,1,1,0.116353,0.116683,0.020083,0.420587,456,459,881,1000,977,977,1000,1000,418,532,739,696,829,937,834,994,perturbed
19,0.115384615,1,0.256410256,0.128205128,0.051282051,1.038461538,0.012820513,0.070405,0.022009,0.018924,0.024759,2,3,4,3,0.083272,0.105744,0.047781,0.415471,521,522,933,1000,974,974,1000,1000,5,576,852,12,888,888,993,1000,perturbed
20,0.128205128,1,0.256410256,0.08974359,0.051282051,1.012820513,0.012820513,0.072292,0.048556,0.015032,0.026117,4,2,3,2,0.066361,0.088127,0.059584,0.353134,490,490,955,1000,974,974,1000,1000,3,551,855,6,617,657,755,1000,perturbed
21,0.141025641,1,0.230769231,0.064102564,0.012820513,1,0.012820513,0.072014,0.022704,0.06608,0.018244,2,3,3,3,0.139243,0.107304,0.059971,0.370354,822,822,995,1000,978,978,1000,1000,396,602,826,646,576,810,583,1000,perturbed
22,0.076923077,1,0.230769231,0.076923077,0.064102564,0.974358974,0.012820513,0.0681,0.048905,0.022635,0.046063,3,3,1,3,0.090982,0.120246,0.067628,0.363229,474,527,668,1000,977,977,1000,1000,45,605,820,71,669,734,769,1000,perturbed
23,0.076923077,1,0.256410256,0.115384615,0.064102564,0.974358974,0.012820513,0.040627,0.049096,0.065511,0.031311,1,2,1,1,0.121929,0.081786,0.015221,0.413674,467,517,663,999,980,980,1000,1000,453,535,849,795,896,898,990,1000,perturbed
24,0.153846154,1,0.294871795,0.08974359,0.038461538,1.038461538,0.025641026,0.066187,0.028572,0.027893,0.060682,1,3,4,3,0.107037,0.092587,0.034898,0.413717,489,489,993,1000,973,973,1000,1000,58,521,895,114,905,916,964,1000,perturbed
25,0.153846154,1,0.294871795,0.115384615,0.051282051,1,0.051282051,0.036816,0.052933,0.056812,0.039785,4,2,1,1,0.100361,0.094582,0.034057,0.392333,449,458,991,928,978,978,1000,1000,480,513,863,879,809,814,971,1000,perturbed
26,0.153846154,1,0.307692308,0.115384615,0.051282051,1,0.038461538,0.02984,0.023982,0.075163,0.050605,3,3,1,3,0.074767,0.063355,0.072143,0.351074,419,441,991,869,977,977,1000,1000,426,430,891,960,599,605,842,1000,perturbed
27,0.076923077,1,0.282051282,0.076923077,0.064102564,0.961538462,0.025641026,0.064966,0.013289,0.070285,0.047097,3,2,1,2,0.080037,0.090501,0.018607,0.38275,459,509,665,999,977,977,1000,1000,489,528,892,876,783,829,847,1000,perturbed
28,0.128205128,1,0.269230769,0.076923077,0.012820513,1,0.025641026,0.007436,0.033887,0.006503,0.037785,4,5,2,1,0.123034,0.117198,0.027382,0.429125,3,808,991,3,974,974,1000,1000,1,576,870,4,936,945,974,1000,perturbed
29,0.128205128,1,0.294871795,0.115384615,0.051282051,1,0.051282051,0.063763,0.035874,0.071597,0.017742,3,4,2,1,0.135784,0.096587,0.051109,0.377667,494,494,954,998,978,978,1000,1000,498,513,866,953,747,751,948,998,perturbed
30,0.115384615,1,0.269230769,0.08974359,0.025641026,1.012820513,0.038461538,0.017,0.054463,0.02576,0.03625,2,2,2,2,0.078339,0.081087,0.017874,0.417371,393,685,978,536,977,977,1000,1000,277,516,854,419,914,923,971,1000,perturbed
31,0.141025641,1,0.307692308,0.102564103,0.064102564,0.974358974,0.012820513,0.071849,0.048978,0.057862,0.044375,2,4,4,3,0.08372,0.10035,0.060219,0.355313,417,417,952,1000,980,980,1000,1000,305,506,912,540,631,647,832,1000,perturbed
32,0.115384615,1,0.307692308,0.08974359,0.051282051,1.025641026,0.076923077,0.023582,0.048254,0.030907,0.042888,4,4,4,2,0.115489,0.063721,0.078998,0.363875,374,526,937,620,973,973,1000,1000,262,409,853,485,683,720,809,1000,perturbed
33,0.115384615,1,0.256410256,0.076923077,0.051282051,1.038461538,0.064102564,0.080173,0.059418,0.048863,0.026415,4,4,2,1,0.071929,0.109442,0.09017,0.401884,506,507,935,1000,978,978,1000,1000,488,553,770,833,866,898,918,1000,perturbed
34,0.128205128,1,0.294871795,0.141025641,0.025641026,0.961538462,0.051282051,0.076797,0.040492,0.031797,0.025275,4,5,1,2,0.123159,0.067474,0.087039,0.388916,699,699,987,1000,979,979,1000,1000,343,457,861,606,769,770,981,1000,perturbed
35,0.076923077,1,0.230769231,0.08974359,0.038461538,0.987179487,0.051282051,0.081109,0.004342,0.004829,0.048746,3,5,2,3,0.102404,0.133423,0.020429,0.415704,593,637,757,1000,974,974,1000,1000,36,604,758,58,910,919,967,1000,perturbed
36,0.076923077,1,0.230769231,0.115384615,0.064102564,1.012820513,0.076923077,0.07339,0.054789,0.020054,0.039287,3,4,2,2,0.097578,0.099402,0.087347,0.394518,471,524,668,1000,974,974,1000,1000,302,548,707,458,818,819,974,1000,perturbed
37,0.076923077,1,0.282051282,0.141025641,0.025641026,0.961538462,0.076923077,0.071858,0.015592,0.061752,0.04162,2,3,3,1,0.107435,0.06859,0.02802,0.422705,716,776,834,1000,979,979,1000,1000,411,447,806,846,908,908,996,1000,perturbed
38,0.128205128,1,0.282051282,0.115384615,0.064102564,0.961538462,0.076923077,0.01916,0.065866,0.065592,0.051973,3,1,2,1,0.097422,0.069509,0.018464,0.355761,318,435,904,605,978,978,1000,1000,443,452,809,950,622,629,868,1000,perturbed
39,0.076923077,1,0.282051282,0.08974359,0.012820513,0.974358974,0.064102564,0.00452,0.062587,0.012267,0.014972,1,2,1,1,0.081905,0.113271,0.068491,0.386982,2,833,892,5,980,980,1000,1000,162,538,833,241,806,836,899,1000,perturbed
40,0.102564103,1,0.256410256,0.08974359,0.051282051,1.025641026,0.051282051,0.020734,0.030285,0.01852,0.059597,1,2,3,2,0.103038,0.05654,0.083117,0.383807,485,547,896,861,973,973,1000,1000,112,447,786,199,789,814,887,1000,perturbed
41,0.115384615,1,0.282051282,0.076923077,0.012820513,1.025641026,0.025641026,0.079391,0.049431,0.043217,0.045095,3,3,4,1,0.104665,0.102347,0.077427,0.425428,818,819,986,1000,978,978,1000,1000,217,550,892,364,926,938,968,1000,perturbed
42,0.102564103,1,0.230769231,0.08974359,0.064102564,0.961538462,0.076923077,0.039392,0.01992,0.030292,0.021962,1,2,4,1,0.129735,0.121468,0.048311,0.411564,460,467,838,998,978,978,1000,1000,258,544,711,422,896,909,961,1000,perturbed
43,0.141025641,1,0.269230769,0.102564103,0.025641026,0.961538462,0.076923077,0.062458,0.010806,0.071329,0.04634,3,4,3,3,0.112054,0.080773,0.062282,0.373467,667,669,993,997,977,977,1000,1000,457,488,789,896,741,748,910,1000,perturbed
44,0.153846154,1,0.294871795,0.08974359,0.038461538,0.961538462,0.012820513,0.07286,0.062699,0.007897,0.052214,4,1,1,1,0.083385,0.073848,0.053874,0.403586,485,485,994,1000,974,974,1000,1000,1,466,909,1,873,886,950,1000,perturbed
45,0.128205128,1,0.269230769,0.08974359,0.064102564,1.038461538,0.051282051,0.013016,0.050869,0.058298,0.036521,4,4,4,3,0.13867,0.062095,0.09056,0.428417,202,443,902,338,978,978,1000,1000,385,447,819,770,931,938,980,1000,perturbed
46,0.115384615,1,0.307692308,0.102564103,0.025641026,1.025641026,0.076923077,0.045533,0.023656,0.044854,0.041241,2,4,1,1,0.099176,0.118031,0.068683,0.360278,722,724,979,995,977,977,1000,1000,435,478,857,803,666,678,855,1000,perturbed
47,0.08974359,1,0.282051282,0.115384615,0.038461538,0.974358974,0.038461538,0.052202,0.025813,0.0373,0.031178,3,4,3,3,0.122302,0.092882,0.025599,0.426651,598,623,837,986,979,979,1000,1000,290,523,871,472,926,926,995,1000,perturbed
48,0.128205128,1,0.243589744,0.141025641,0.064102564,1.038461538,0.038461538,0.015084,0.032522,0.07833,0.018111,1,4,2,2,0.073917,0.102574,0.037883,0.429665,367,434,904,795,973,973,1000,1000,541,562,800,965,918,918,997,1000,perturbed
49,0.141025641,1,0.243589744,0.102564103,0.012820513,0.987179487,0.076923077,0.002681,0.047579,0.025497,0.009572,4,5,3,3,0.134069,0.087666,0.028166,0.362827,0,817,995,0,978,978,1000,1000,237,539,740,377,660,688,867,956,perturbed
50,0.076923077,1,0.243589744,0.141025641,0.064102564,1.038461538,0.051282051,0.067922,0.04951,0.009487,0.006747,3,3,2,3,0.130312,0.120092,0.086558,0.387239,459,506,666,999,977,977,1000,1000,81,579,772,123,725,772,981,923,perturbed
51,0.102564103,1,0.307692308,0.128205128,0.038461538,1.025641026,0.012820513,0.013426,0.020426,0.012081,0.047766,1,2,1,3,0.088139,0.121775,0.037647,0.382598,308,584,936,470,974,974,1000,1000,1,524,913,5,763,765,963,1000,perturbed
52,0.128205128,1,0.269230769,0.128205128,0.038461538,0.987179487,0.051282051,0.01925,0.021003,0.051306,0.003653,3,2,3,2,0.075674,0.084312,0.066547,0.409771,367,525,975,574,974,974,1000,1000,409,518,820,716,873,880,992,988,perturbed
53,0.08974359,1,0.243589744,0.076923077,0.038461538,1,0.064102564,0.074994,0.047622,0.070345,0.022382,1,5,1,3,0.107854,0.08316,0.024693,0.37397,611,632,838,1000,978,978,1000,1000,513,541,757,962,727,788,816,984,perturbed
54,0.076923077,1,0.307692308,0.141025641,0.038461538,0.961538462,0.051282051,0.014026,0.037324,0.01966,0.03641,4,3,3,2,0.119471,0.074226,0.03706,0.400586,176,637,756,221,978,978,1000,1000,146,457,881,220,812,812,990,1000,perturbed
55,0.08974359,1,0.282051282,0.076923077,0.025641026,1.012820513,0.051282051,0.052928,0.033921,0.065469,0.002305,1,2,2,1,0.117859,0.117274,0.05793,0.405845,755,777,904,998,979,979,1000,1000,514,540,854,921,884,915,938,980,perturbed
56,0.141025641,1,0.282051282,0.102564103,0.025641026,0.961538462,0.064102564,0.015547,0.021467,0.033649,0.016198,3,2,1,3,0.098172,0.077219,0.050709,0.406369,309,660,992,385,974,974,1000,1000,381,485,826,658,880,886,978,997,perturbed
57,0.115384615,1,0.282051282,0.141025641,0.051282051,1.038461538,0.012820513,0.003247,0.022971,0.057045,0.036189,4,4,4,3,0.102854,0.065699,0.029717,0.384318,24,519,933,24,978,978,1000,1000,307,463,891,570,748,748,975,1000,perturbed
58,0.076923077,1,0.230769231,0.115384615,0.064102564,0.987179487,0.051282051,0.004237,0.01956,0.027457,0.015095,5,1,4,1,0.086593,0.111674,0.070093,0.388483,39,505,667,40,977,977,1000,1000,197,580,756,317,803,809,966,995,perturbed
59,0.153846154,1,0.294871795,0.115384615,0.012820513,0.961538462,0.076923077,0.024747,0.014723,0.060292,7.30E-05,3,4,3,1,0.112937,0.058082,0.04802,0.388261,291,781,995,380,977,977,1000,1000,385,409,826,843,781,799,966,967,perturbed
60,0.115384615,1,0.282051282,0.08974359,0.012820513,1.025641026,0.064102564,0.030424,0.064575,0.051562,0.053214,1,4,2,1,0.071367,0.085844,0.045765,0.375233,537,776,987,689,974,974,1000,1000,476,512,833,860,746,778,848,1000,perturbed
61,0.076923077,1,0.269230769,0.08974359,0.025641026,0.961538462,0.064102564,0.054805,0.061898,0.056584,0.048473,4,2,1,1,0.106718,0.066611,0.013949,0.378256,711,781,836,964,978,978,1000,1000,439,467,801,902,766,775,928,1000,perturbed
62,0.115384615,1,0.230769231,0.064102564,0.038461538,1.012820513,0.012820513,0.08073,0.001384,0.069463,0.051781,4,3,3,1,0.09456,0.080611,0.058825,0.383379,567,567,964,1000,977,977,1000,1000,406,555,820,700,649,846,662,1000,perturbed
63,0.153846154,1,0.282051282,0.102564103,0.012820513,0.961538462,0.076923077,0.081264,0.050358,0.041618,0.037971,3,3,2,2,0.085427,0.057495,0.062097,0.395181,758,758,996,1000,980,980,1000,1000,381,421,806,796,837,842,966,1000,perturbed
64,0.08974359,1,0.294871795,0.115384615,0.012820513,0.961538462,0.012820513,0.080868,0.024612,0.072663,0.05747,4,3,2,1,0.125567,0.077247,0.04859,0.38811,829,845,937,997,974,974,1000,1000,461,500,898,865,790,792,971,1000,perturbed
65,0.115384615,1,0.269230769,0.115384615,0.051282051,0.987179487,0.012820513,0.008057,0.063688,0.007986,0.054846,1,5,2,3,0.078449,0.103776,0.034289,0.373009,157,517,934,255,978,978,1000,1000,2,558,877,2,728,733,938,1000,perturbed
66,0.141025641,1,0.294871795,0.064102564,0.064102564,0.987179487,0.076923077,0.031564,0.053586,0.057688,0.005257,2,4,4,1,0.142428,0.074847,0.036105,0.416154,400,407,953,976,977,977,1000,1000,404,450,824,800,807,935,817,977,perturbed
67,0.128205128,1,0.269230769,0.102564103,0.051282051,0.974358974,0.064102564,0.005471,0.001091,0.034585,0.053312,1,3,2,3,0.140423,0.112281,0.038025,0.418348,102,499,955,134,975,975,1000,1000,413,534,799,673,912,914,989,1000,perturbed
68,0.115384615,1,0.307692308,0.115384615,0.064102564,1.012820513,0.025641026,0.077656,0.064026,0.02511,0.052105,2,1,2,2,0.136902,0.106599,0.075017,0.406474,457,459,880,1000,974,974,1000,1000,67,513,911,145,868,871,987,1000,perturbed
69,0.153846154,1,0.282051282,0.128205128,0.012820513,1.038461538,0.025641026,0.051561,0.042743,0.053569,0.035577,2,2,2,1,0.096868,0.092211,0.054665,0.411904,760,774,995,979,978,978,1000,1000,400,534,892,691,883,884,992,1000,perturbed
70,0.153846154,1,0.307692308,0.128205128,0.051282051,0.987179487,0.025641026,0.014438,0.034793,0.077136,0.006672,4,2,4,2,0.12226,0.06474,0.058,0.357688,299,458,991,438,977,977,1000,1000,408,432,901,851,617,624,890,984,perturbed
71,0.102564103,1,0.294871795,0.102564103,0.025641026,1.012820513,0.012820513,0.038081,0.015916,0.035328,0.044812,1,3,1,3,0.119746,0.101838,0.020541,0.386148,730,748,961,974,979,979,1000,1000,153,526,902,273,804,813,950,1000,perturbed
72,0.102564103,1,0.230769231,0.102564103,0.064102564,1.012820513,0.012820513,0.00617,0.029383,0.033059,0.04567,1,4,1,3,0.113563,0.094157,0.043097,0.394059,225,462,839,400,973,973,1000,1000,150,584,818,246,832,839,963,1000,perturbed
73,0.076923077,1,0.307692308,0.115384615,0.064102564,1.012820513,0.064102564,0.028861,0.018217,0.082271,0.023898,2,3,3,3,0.112797,0.082074,0.024966,0.361049,465,515,668,995,978,978,1000,1000,464,473,864,940,647,658,890,981,perturbed
74,0.128205128,1,0.294871795,0.141025641,0.012820513,1.038461538,0.025641026,0.062207,0.058616,0.076032,0.025028,4,3,3,1,0.121628,0.109877,0.034178,0.389157,795,813,991,978,977,977,1000,1000,477,547,898,826,771,772,981,1000,perturbed
75,0.141025641,1,0.269230769,0.128205128,0.038461538,0.987179487,0.025641026,0.039801,0.006295,0.057051,0.051143,1,2,1,2,0.123227,0.100235,0.022844,0.416943,494,496,989,992,974,974,1000,1000,435,553,866,742,894,894,993,1000,perturbed
76,0.076923077,1,0.243589744,0.064102564,0.038461538,1.038461538,0.025641026,0.056318,0.042237,0.050189,0.042547,3,4,1,3,0.093136,0.07193,0.024262,0.399001,590,637,759,987,974,974,1000,1000,389,523,826,675,744,900,754,1000,perturbed
77,0.153846154,1,0.282051282,0.102564103,0.025641026,0.961538462,0.038461538,0.014851,0.067542,0.075382,0.023094,2,3,4,1,0.091331,0.110119,0.086029,0.377086,350,642,995,462,978,978,1000,1000,499,546,874,868,761,769,924,1000,perturbed
78,0.153846154,1,0.307692308,0.08974359,0.064102564,0.974358974,0.038461538,0.073442,0.007534,0.030107,0.029384,2,3,3,2,0.128751,0.080838,0.022196,0.393579,398,398,971,1000,977,977,1000,1000,235,467,897,372,831,854,921,1000,perturbed
79,0.076923077,1,0.307692308,0.08974359,0.038461538,0.974358974,0.051282051,0.011409,0.046763,0.037972,0.005505,2,4,2,3,0.130079,0.087226,0.083983,0.355955,354,646,762,512,980,980,1000,1000,392,487,883,677,558,677,775,826,perturbed
80,0.141025641,1,0.307692308,0.102564103,0.064102564,0.987179487,0.064102564,0.062525,0.053473,0.01024,0.039351,4,3,2,1,0.085262,0.07788,0.028291,0.412392,409,409,951,998,973,973,1000,1000,112,453,866,181,900,904,985,1000,perturbed
81,0.08974359,1,0.282051282,0.08974359,0.025641026,1.038461538,0.038461538,0.069349,0.029838,0.069934,0.018017,4,4,3,3,0.119111,0.130281,0.019603,0.376571,756,776,907,993,978,978,1000,1000,494,553,872,843,744,775,855,992,perturbed
82,0.153846154,1,0.307692308,0.064102564,0.038461538,0.961538462,0.076923077,0.039702,0.011363,0.006022,0.040803,1,2,1,3,0.077078,0.113114,0.066644,0.416087,476,477,995,992,979,979,1000,1000,67,469,856,112,813,935,817,1000,perturbed
83,0.153846154,1,0.269230769,0.08974359,0.025641026,0.987179487,0.076923077,0.080932,0.017067,0.017805,0.037705,2,4,3,3,0.129092,0.081668,0.011786,0.35296,668,668,995,1000,974,974,1000,1000,145,491,791,233,615,658,756,998,perturbed
84,0.076923077,1,0.269230769,0.102564103,0.051282051,1.038461538,0.025641026,0.078581,0.062312,0.009252,0.031261,4,1,3,1,0.134134,0.135526,0.080989,0.397018,535,592,704,1000,974,974,1000,1000,0,570,869,0,845,849,968,1000,perturbed
85,0.153846154,1,0.269230769,0.08974359,0.051282051,1.012820513,0.012820513,0.019466,0.003636,0.08045,0.021702,2,4,3,1,0.091767,0.121322,0.066053,0.423247,403,446,991,785,978,978,1000,1000,462,553,882,814,925,932,975,1000,perturbed
86,0.141025641,1,0.294871795,0.115384615,0.064102564,1.025641026,0.012820513,0.05767,0.03949,0.083634,0.006381,2,5,3,2,0.1201,0.101243,0.059711,0.397889,411,411,952,1000,977,977,1000,1000,472,531,903,849,847,850,976,1000,perturbed
87,0.153846154,1,0.282051282,0.128205128,0.038461538,1.012820513,0.051282051,0.052832,0.028396,0.036918,0.004888,4,4,4,3,0.088792,0.086103,0.06619,0.357833,487,487,995,986,979,979,1000,1000,303,507,853,504,573,628,891,877,perturbed
88,0.141025641,1,0.243589744,0.064102564,0.012820513,1.012820513,0.064102564,0.003173,0.029056,0.063391,0.035408,4,2,1,2,0.114154,0.09737,0.065451,0.384923,0,814,995,0,973,973,1000,1000,522,559,759,938,661,854,674,1000,perturbed
89,0.153846154,1,0.243589744,0.128205128,0.064102564,1.038461538,0.012820513,0.046882,0.021076,0.032807,0.042042,2,2,3,1,0.072401,0.05604,0.040422,0.391194,394,394,969,999,978,978,1000,1000,77,466,820,169,803,806,973,1000,perturbed
90,0.153846154,1,0.294871795,0.08974359,0.051282051,1,0.064102564,0.00714,0.036493,0.007742,0.026808,4,5,2,3,0.100545,0.102926,0.043925,0.367282,145,448,991,167,977,977,1000,1000,71,502,868,111,690,735,819,994,perturbed
91,0.115384615,1,0.230769231,0.102564103,0.064102564,1.012820513,0.051282051,0.047801,0.046304,0.065785,0.011407,2,3,1,3,0.125745,0.093868,0.023964,0.403712,459,460,879,1000,974,974,1000,1000,535,579,756,939,855,875,974,971,perturbed
92,0.076923077,1,0.269230769,0.102564103,0.064102564,0.961538462,0.051282051,0.03955,0.006007,0.017728,0.013447,2,3,4,2,0.124982,0.122638,0.086285,0.384739,472,525,669,1000,974,974,1000,1000,103,559,820,155,790,798,948,991,perturbed
93,0.128205128,1,0.243589744,0.076923077,0.025641026,0.974358974,0.025641026,0.00495,0.035976,0.012799,0.031051,1,2,3,3,0.071869,0.110895,0.077187,0.383886,28,658,989,33,978,978,1000,1000,1,587,831,4,787,837,852,1000,perturbed
94,0.08974359,1,0.307692308,0.08974359,0.038461538,1.025641026,0.064102564,0.041095,0.052324,0.065031,0.056144,4,4,4,2,0.111399,0.075628,0.059893,0.389431,559,626,836,867,977,977,1000,1000,434,459,867,849,818,840,910,1000,perturbed
95,0.102564103,1,0.307692308,0.076923077,0.064102564,1.012820513,0.038461538,0.061486,0.007366,0.029189,0.032663,4,2,2,1,0.074314,0.064268,0.02205,0.393284,468,471,840,993,979,979,1000,1000,287,427,891,504,837,874,890,1000,perturbed
96,0.141025641,1,0.256410256,0.064102564,0.051282051,0.974358974,0.076923077,0.058631,0.029105,0.071553,0.001408,4,5,1,2,0.098289,0.121891,0.056022,0.391988,456,456,979,990,973,973,1000,1000,498,525,757,968,684,878,715,933,perturbed
97,0.102564103,1,0.294871795,0.102564103,0.025641026,0.961538462,0.025641026,0.055952,0.060676,0.041756,0.015707,3,2,1,3,0.066099,0.076077,0.01256,0.354586,679,683,966,991,977,977,1000,1000,290,487,895,505,620,639,831,985,perturbed
98,0.08974359,1,0.307692308,0.08974359,0.038461538,0.974358974,0.038461538,0.027109,0.03845,0.019816,0.013357,5,5,2,2,0.067111,0.069229,0.071843,0.421224,402,611,836,620,978,978,1000,1000,170,449,892,278,921,928,974,1000,perturbed
99,0.141025641,1,0.282051282,0.08974359,0.051282051,1,0.064102564,0.070191,0.062269,0.011351,0.033961,2,2,1,2,0.128829,0.082691,0.038446,0.417281,468,468,978,1000,974,974,1000,1000,142,490,828,220,914,923,970,1000,perturbed
100,0.08974359,1,0.307692308,0.08974359,0.038461538,0.974358974,0.038461538,0.043146,0.024787,0.083366,0.053137,2,2,2,3,0.094182,0.07858,0.030846,0.404417,600,624,835,996,974,974,1000,1000,473,477,897,977,880,893,951,1000,perturbed
101,0.08974359,1,0.230769231,0.115384615,0.025641026,1.012820513,0.064102564,0.017604,0.062006,0.005483,0.010937,4,5,3,2,0.085793,0.125717,0.087162,0.353235,238,755,905,282,978,978,1000,1000,8,589,731,24,606,615,855,979,perturbed
102,0.08974359,1,0.294871795,0.115384615,0.012820513,1.025641026,0.038461538,0.051668,0.026735,0.038411,0.013506,4,4,1,2,0.134528,0.093231,0.014633,0.429563,729,835,935,877,977,977,1000,1000,412,516,865,687,934,934,995,1000,perturbed
103,0.128205128,1,0.307692308,0.076923077,0.012820513,0.974358974,0.051282051,0.064772,0.032482,0.083118,0.044751,1,2,1,1,0.126891,0.082987,0.079107,0.400472,817,819,991,999,980,980,1000,1000,480,484,885,982,855,886,915,1000,perturbed
104,0.141025641,1,0.282051282,0.141025641,0.038461538,0.974358974,0.012820513,0.026249,0.067742,0.073892,0.025895,4,2,3,3,0.12352,0.076619,0.037506,0.414679,438,493,990,740,973,973,1000,1000,421,495,894,786,879,879,994,1000,perturbed
105,0.153846154,1,0.307692308,0.076923077,0.064102564,1.038461538,0.012820513,0.064873,0.005465,0.013326,0.039057,3,1,1,1,0.06502,0.121566,0.012096,0.413479,388,388,970,1000,978,978,1000,1000,1,523,913,8,902,919,954,1000,perturbed
106,0.076923077,1,0.256410256,0.08974359,0.025641026,1.012820513,0.051282051,0.057073,0.00512,0.02404,0.051354,5,4,4,1,0.079198,0.089165,0.046539,0.361317,699,764,835,967,977,977,1000,1000,175,545,797,265,667,706,801,1000,perturbed
107,0.08974359,1,0.294871795,0.076923077,0.064102564,0.961538462,0.076923077,0.069534,0.008336,0.051589,0.002947,5,4,3,2,0.092677,0.099797,0.023073,0.426762,471,494,732,997,977,977,1000,1000,405,475,823,751,909,940,970,963,perturbed
