Name,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,Name
1713,0.115384615,0.3,0.269230769,0.102564103,0.025641026,1,0.038461538,0.041616792,0.027775434,0.044077962,0.020930605,3,2.5,3,2,0.102978749,0.09598946,0.051490419,0.390277602,original
1939,0.076923077,0.3,0.205128205,0.102564103,0.012820513,0.076923077,0.038461538,0.087712356,0.089585688,0.070521161,0.020521801,3,2,3,1,0.124655805,0.121723061,0.058764616,0.365351954,original
