Sample,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC,Name
0,0.064102564,1,0.230769231,0.102564103,0.038461538,0.08974359,0.051282051,0.125599,0.054754,0.109611,0.042247,1,2,5,1,0.116292,0.148197,0.046889,0.391976,393,655,416,1000,998,998,1000,1000,555,592,756,977,824,833,958,1000,perturbed
1,0.08974359,1,0.192307692,0.08974359,0.051282051,0.08974359,0.012820513,0.122144,0.062139,0.034169,0.011629,2,3,5,1,0.142496,0.123751,0.092677,0.347801,549,578,776,1000,1000,1000,1000,1000,66,676,733,98,595,637,729,994,perturbed
2,0.038461538,1,0.230769231,0.115384615,0.038461538,0.064102564,0.076923077,0.122232,0.093125,0.050432,0.02194,3,1,3,2,0.150564,0.144538,0.035854,0.37215,0,691,0,1000,1000,1000,1000,1000,420,559,711,719,711,716,931,997,perturbed
3,0.064102564,1,0.230769231,0.128205128,0.012820513,0.115384615,0.076923077,0.106493,0.096823,0.043354,0,1,3,4,1,0.087819,0.114605,0.066086,0.392162,570,855,581,1000,999,999,1000,1000,365,567,708,612,784,807,974,962,perturbed
4,0.064102564,1,0.179487179,0.064102564,0.025641026,0.064102564,0.064102564,0.052331,0.096178,0.044509,0.036279,4,3,5,3,0.134045,0.113275,0.030098,0.335119,497,815,510,932,1000,1000,1000,1000,324,673,466,540,360,615,362,984,perturbed
5,0.115384615,1,0.179487179,0.102564103,0.038461538,0.076923077,0.064102564,0.076784,0.057622,0.092708,0.034099,4,2,4,3,0.158316,0.139094,0.024066,0.382216,568,569,958,1000,999,999,1000,1000,425,654,464,953,784,792,942,1000,perturbed
6,0.076923077,1,0.166666667,0.115384615,0.051282051,0.076923077,0.012820513,0.097989,0.055379,0.035204,0.018731,3,3,5,2,0.133202,0.109472,0.089921,0.357103,536,590,706,1000,1000,1000,1000,1000,68,696,556,109,624,631,870,1000,perturbed
7,0.051282051,1,0.192307692,0.102564103,0.012820513,0.08974359,0.064102564,0.078721,0.09478,0.050083,0.028436,4,2,3,3,0.093685,0.084864,0.027948,0.370414,77,876,77,986,999,999,1000,1000,439,634,615,711,721,731,897,999,perturbed
8,0.051282051,1,0.205128205,0.08974359,0.051282051,0.115384615,0.012820513,0.092132,0.068519,0.110246,0.035397,2,1,5,1,0.159983,0.104837,0.074741,0.336026,45,625,45,1000,999,999,1000,1000,579,651,753,932,519,567,637,1000,perturbed
9,0.076923077,1,0.179487179,0.064102564,0.038461538,0.038461538,0.064102564,0.107801,0.059341,0.038573,0.039623,3,3,1,3,0.112334,0.147677,0.070238,0.367756,601,644,763,1000,1000,1000,1000,1000,413,669,466,763,555,780,562,999,perturbed
10,0.076923077,1,0.205128205,0.141025641,0.038461538,0.115384615,0.076923077,0.109801,0.075664,0.080293,0.03299,4,1,4,3,0.155281,0.103018,0.031203,0.366457,588,634,759,1000,999,999,1000,1000,498,578,625,918,655,655,949,999,perturbed
11,0.051282051,1,0.243589744,0.141025641,0.038461538,0.064102564,0.076923077,0.053694,0.055177,0.058994,0.043818,2,1,2,2,0.090296,0.123993,0.06248,0.390767,44,671,44,1000,999,999,1000,1000,500,539,740,923,772,773,981,1000,perturbed
12,0.115384615,1,0.205128205,0.102564103,0.051282051,0.08974359,0.076923077,0.11853,0.122029,0.096262,0.04689,3,2,3,3,0.107994,0.098846,0.044566,0.339002,529,531,936,1000,998,998,1000,1000,513,611,623,982,551,568,758,999,perturbed
13,0.115384615,1,0.217948718,0.08974359,0.051282051,0.115384615,0.076923077,0.078276,0.117257,0.042656,0.007716,2,1,3,1,0.093117,0.135446,0.097691,0.399258,521,522,933,1000,998,998,1000,1000,366,560,671,628,859,877,944,986,perturbed
14,0.115384615,1,0.243589744,0.064102564,0.025641026,0.102564103,0.051282051,0.074997,0.121771,0.099239,0.022954,4,2,1,2,0.084972,0.148113,0.022885,0.334456,718,719,984,1000,999,999,1000,1000,565,593,780,995,357,611,359,995,perturbed
15,0.115384615,1,0.243589744,0.08974359,0.038461538,0.051282051,0.076923077,0.101115,0.104705,0.035746,0.050935,4,1,4,1,0.153626,0.115706,0.080947,0.36842,573,573,965,1000,1000,1000,1000,1000,316,541,740,516,700,739,821,1000,perturbed
16,0.08974359,1,0.217948718,0.141025641,0.012820513,0.051282051,0.064102564,0.106543,0.092788,0.094927,0.011349,2,3,5,3,0.098878,0.104344,0.021134,0.347656,840,856,938,1000,1000,1000,1000,1000,535,599,694,942,559,567,877,964,perturbed
17,0.115384615,1,0.179487179,0.064102564,0.012820513,0.064102564,0.076923077,0.056334,0.073263,0.05124,0.010252,2,2,3,2,0.114506,0.096655,0.027163,0.400412,824,834,988,990,1000,1000,1000,1000,371,629,446,730,752,907,761,998,perturbed
18,0.038461538,1,0.230769231,0.102564103,0.038461538,0.038461538,0.025641026,0.08003,0.069083,0.060702,0.003627,3,2,3,1,0.143245,0.110006,0.058434,0.3505,0,691,0,999,1000,1000,1000,1000,385,602,807,631,588,621,814,951,perturbed
19,0.064102564,1,0.192307692,0.141025641,0.025641026,0.064102564,0.076923077,0.078395,0.1226,0.074821,0.020921,3,2,5,2,0.164437,0.09272,0.038138,0.348541,492,807,508,1000,999,999,1000,1000,487,616,593,862,561,563,882,996,perturbed
20,0.064102564,1,0.230769231,0.102564103,0.025641026,0.102564103,0.051282051,0.127617,0.103275,0.070505,0.025323,3,1,5,3,0.12194,0.159506,0.085725,0.368891,494,807,508,1000,998,998,1000,1000,502,603,759,809,707,719,891,994,perturbed
21,0.064102564,1,0.179487179,0.064102564,0.025641026,0.064102564,0.051282051,0.10415,0.094486,0.050615,0.000583,1,2,3,3,0.13822,0.102485,0.085284,0.378098,496,811,511,1000,1000,1000,1000,1000,382,660,494,670,463,830,623,665,perturbed
22,0.064102564,1,0.205128205,0.115384615,0.012820513,0.076923077,0.038461538,0.065071,0.109614,0.05635,0.031886,2,2,3,1,0.104886,0.12526,0.070778,0.372601,571,870,581,1000,1000,1000,1000,1000,477,666,703,717,719,722,934,1000,perturbed
23,0.102564103,1,0.192307692,0.076923077,0.051282051,0.038461538,0.051282051,0.073181,0.076539,0.04619,0.047313,5,1,2,3,0.13611,0.114478,0.090578,0.346804,539,545,902,996,1000,1000,1000,1000,511,664,648,798,572,648,666,999,perturbed
24,0.038461538,1,0.166666667,0.08974359,0.025641026,0.076923077,0.064102564,0.126653,0.073722,0.047019,0.012906,3,3,4,2,0.08598,0.114965,0.068075,0.365072,0,805,0,1000,999,999,1000,1000,327,678,416,604,683,724,813,983,perturbed
25,0.076923077,1,0.217948718,0.102564103,0.012820513,0.064102564,0.025641026,0.067065,0.087608,0.033641,0.059557,4,4,4,2,0.110394,0.130394,0.055969,0.402004,807,863,889,972,1000,1000,1000,1000,93,627,770,169,865,871,973,1000,perturbed
26,0.115384615,1,0.243589744,0.128205128,0.038461538,0.051282051,0.012820513,0.104389,0.095705,0.0368,0.034527,3,3,2,2,0.162928,0.140799,0.0501,0.404355,558,559,958,1000,999,999,1000,1000,191,594,840,312,854,855,989,1000,perturbed
27,0.076923077,1,0.217948718,0.076923077,0.038461538,0.051282051,0.076923077,0.056499,0.122103,0.066781,0.05215,2,1,5,1,0.112967,0.131955,0.036728,0.401188,595,640,758,1000,999,999,1000,1000,471,583,670,805,859,888,918,1000,perturbed
28,0.08974359,1,0.230769231,0.08974359,0.012820513,0.102564103,0.064102564,0.060273,0.08231,0.069771,0.004126,3,4,2,1,0.141609,0.092658,0.085962,0.389738,811,851,936,964,998,998,1000,1000,537,576,731,965,808,834,910,987,perturbed
29,0.076923077,1,0.205128205,0.08974359,0.051282051,0.076923077,0.051282051,0.077749,0.067542,0.065365,0.025629,2,3,3,1,0.121603,0.127736,0.081042,0.342029,547,604,707,1000,1000,1000,1000,1000,513,650,672,823,551,594,689,996,perturbed
30,0.038461538,1,0.217948718,0.076923077,0.025641026,0.038461538,0.076923077,0.049113,0.06811,0.044193,0.028686,4,2,4,3,0.133137,0.081757,0.022803,0.373033,0,822,0,817,1000,1000,1000,1000,356,549,671,615,726,784,813,992,perturbed
31,0.076923077,1,0.217948718,0.141025641,0.038461538,0.038461538,0.012820513,0.124286,0.057475,0.078812,0.016999,2,3,3,2,0.149825,0.107457,0.074132,0.379115,596,643,761,1000,1000,1000,1000,1000,475,612,780,780,731,731,970,1000,perturbed
32,0.038461538,1,0.179487179,0.115384615,0.012820513,0.076923077,0.051282051,0.063103,0.127816,0.105478,0.019982,4,4,4,3,0.150836,0.126898,0.060421,0.384845,0,899,0,880,999,999,1000,1000,460,675,494,975,781,786,958,998,perturbed
33,0.076923077,1,0.192307692,0.08974359,0.025641026,0.038461538,0.025641026,0.07268,0.057691,0.073035,0.014036,2,3,3,2,0.107762,0.138192,0.038238,0.364762,726,792,837,1000,1000,1000,1000,1000,495,682,711,768,679,721,813,998,perturbed
34,0.051282051,1,0.217948718,0.128205128,0.025641026,0.115384615,0.038461538,0.119413,0.050853,0.066137,0.05483,5,1,3,2,0.133511,0.100884,0.097221,0.342449,55,817,55,1000,999,999,1000,1000,495,606,752,802,552,557,820,1000,perturbed
35,0.115384615,1,0.205128205,0.115384615,0.038461538,0.064102564,0.051282051,0.102563,0.090919,0.04093,0.046062,4,2,1,1,0.144057,0.094238,0.053284,0.387988,573,574,959,1000,999,999,1000,1000,469,628,670,739,797,800,966,1000,perturbed
36,0.064102564,1,0.192307692,0.128205128,0.012820513,0.051282051,0.025641026,0.051314,0.125512,0.077142,0.002425,1,3,5,2,0.154037,0.111179,0.032953,0.402371,573,878,582,990,999,999,1000,1000,485,674,713,745,846,846,987,999,perturbed
37,0.051282051,1,0.230769231,0.102564103,0.012820513,0.115384615,0.038461538,0.04779,0.069414,0.10938,0.013896,4,1,5,1,0.105142,0.101286,0.037195,0.340239,78,887,78,716,999,999,1000,1000,577,607,787,971,555,567,766,990,perturbed
38,0.038461538,1,0.243589744,0.141025641,0.038461538,0.064102564,0.076923077,0.065732,0.123701,0.088278,0.006282,3,1,4,3,0.104676,0.135979,0.057444,0.366357,0,697,0,997,1000,1000,1000,1000,508,543,739,947,578,655,947,851,perturbed
