Sample,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC,Name
39,0.064102564,1,0.166666667,0.141025641,0.025641026,0.038461538,0.038461538,0.054849,0.084249,0.048604,0.002128,4,2,3,1,0.131945,0.10006,0.078158,0.388144,491,807,504,950,1000,1000,1000,1000,355,694,480,604,754,768,979,968,perturbed
40,0.08974359,1,0.217948718,0.115384615,0.025641026,0.08974359,0.038461538,0.105334,0.058912,0.043325,0.031638,2,1,2,2,0.085813,0.128583,0.022347,0.356319,739,759,909,1000,998,998,1000,1000,476,620,750,719,624,633,868,1000,perturbed
41,0.064102564,1,0.230769231,0.115384615,0.025641026,0.102564103,0.012820513,0.115572,0.119936,0.095313,0.004209,4,4,2,2,0.102565,0.082731,0.081872,0.403317,487,790,506,1000,999,999,1000,1000,551,569,819,978,860,864,982,999,perturbed
42,0.064102564,1,0.192307692,0.128205128,0.025641026,0.115384615,0.012820513,0.087329,0.072911,0.085493,0.002942,4,2,3,2,0.132709,0.09285,0.060598,0.330403,493,810,507,999,999,999,1000,1000,528,655,732,840,473,479,767,964,perturbed
43,0.08974359,1,0.243589744,0.102564103,0.012820513,0.051282051,0.076923077,0.092059,0.119033,0.050174,0.059438,3,4,2,1,0.125063,0.105187,0.047008,0.359616,843,859,938,1000,999,999,1000,1000,491,543,740,862,658,672,851,1000,perturbed
44,0.064102564,1,0.243589744,0.102564103,0.051282051,0.115384615,0.051282051,0.058867,0.060473,0.098078,0.060129,3,2,5,3,0.155144,0.095894,0.072481,0.37688,368,611,395,994,998,998,1000,1000,539,569,771,944,748,751,947,1000,perturbed
45,0.08974359,1,0.166666667,0.08974359,0.051282051,0.064102564,0.038461538,0.100899,0.084437,0.100162,0.030851,3,2,2,3,0.122622,0.102096,0.034502,0.362815,559,588,775,1000,1000,1000,1000,1000,451,684,481,995,677,719,808,995,perturbed
46,0.115384615,1,0.179487179,0.102564103,0.051282051,0.051282051,0.076923077,0.117293,0.094683,0.061535,0.024228,3,1,4,1,0.096438,0.148666,0.094017,0.341963,524,526,936,1000,1000,1000,1000,1000,386,623,442,787,564,579,782,996,perturbed
47,0.038461538,1,0.166666667,0.076923077,0.051282051,0.08974359,0.064102564,0.062151,0.062364,0.060042,0.01302,1,3,4,2,0.124625,0.154698,0.058122,0.365997,0,664,0,1000,999,999,1000,1000,373,678,413,757,675,738,787,977,perturbed
48,0.076923077,1,0.230769231,0.076923077,0.051282051,0.076923077,0.025641026,0.123054,0.070449,0.038274,0.011169,2,1,4,1,0.133333,0.115129,0.052067,0.335236,539,595,707,1000,1000,1000,1000,1000,142,611,809,248,508,590,584,976,perturbed
49,0.08974359,1,0.192307692,0.08974359,0.051282051,0.076923077,0.038461538,0.088012,0.115587,0.060188,0.028127,2,3,1,1,0.153107,0.094858,0.020975,0.343596,548,577,777,1000,999,999,1000,1000,549,651,687,886,565,610,700,999,perturbed
50,0.08974359,1,0.166666667,0.141025641,0.038461538,0.102564103,0.076923077,0.09638,0.079732,0.057207,0.051258,2,1,4,3,0.150119,0.136982,0.056817,0.378222,603,624,836,1000,999,999,1000,1000,345,639,397,747,725,725,969,1000,perturbed
51,0.102564103,1,0.179487179,0.115384615,0.038461538,0.102564103,0.064102564,0.084189,0.050014,0.033829,0.027773,4,1,5,3,0.121481,0.11052,0.056325,0.384655,590,593,937,1000,999,999,1000,1000,274,642,613,404,787,791,961,999,perturbed
52,0.115384615,1,0.166666667,0.064102564,0.051282051,0.051282051,0.012820513,0.075748,0.121188,0.052174,0.003534,2,3,4,3,0.104174,0.119522,0.037349,0.338317,534,535,941,1000,1000,1000,1000,1000,225,715,559,363,371,629,379,848,perturbed
53,0.08974359,1,0.217948718,0.115384615,0.025641026,0.064102564,0.064102564,0.06103,0.066481,0.03696,0.011089,1,3,4,2,0.138599,0.121945,0.091626,0.325959,766,789,909,1000,1000,1000,1000,1000,314,613,694,491,451,465,716,957,perturbed
54,0.064102564,1,0.192307692,0.102564103,0.012820513,0.102564103,0.012820513,0.060882,0.072257,0.097932,0.047517,5,3,3,3,0.106901,0.160154,0.067672,0.364232,571,874,581,919,999,999,1000,1000,581,684,735,915,689,702,869,1000,perturbed
55,0.115384615,1,0.243589744,0.128205128,0.051282051,0.051282051,0.038461538,0.106654,0.052197,0.044108,0.006898,4,3,4,3,0.093037,0.097442,0.024889,0.352493,528,529,935,1000,1000,1000,1000,1000,338,571,802,533,557,598,869,906,perturbed
56,0.076923077,1,0.179487179,0.128205128,0.012820513,0.038461538,0.025641026,0.108867,0.067636,0.107355,0.036969,3,3,2,2,0.143447,0.125346,0.068177,0.326389,846,891,898,1000,1000,1000,1000,1000,540,693,598,995,454,459,745,1000,perturbed
57,0.115384615,1,0.230769231,0.076923077,0.025641026,0.08974359,0.025641026,0.126975,0.09215,0.032778,0.048676,1,2,4,2,0.1614,0.082474,0.041262,0.385365,736,736,981,1000,1000,1000,1000,1000,94,561,802,171,789,834,859,1000,perturbed
58,0.076923077,1,0.179487179,0.128205128,0.038461538,0.076923077,0.076923077,0.11264,0.125101,0.106027,0.014748,1,1,5,2,0.159827,0.089408,0.03245,0.338031,591,635,761,1000,999,999,1000,1000,401,618,442,976,515,522,807,973,perturbed
59,0.115384615,1,0.205128205,0.08974359,0.051282051,0.115384615,0.012820513,0.066658,0.105172,0.078488,0.055642,4,1,5,1,0.106028,0.101771,0.033803,0.389306,525,527,934,996,999,999,1000,1000,461,639,748,726,816,840,908,1000,perturbed
60,0.051282051,1,0.243589744,0.076923077,0.051282051,0.115384615,0.012820513,0.065961,0.086389,0.04523,0.057057,3,3,4,3,0.138129,0.135892,0.095956,0.355738,44,634,44,997,998,998,1000,1000,183,603,843,309,622,692,723,1000,perturbed
61,0.051282051,1,0.217948718,0.128205128,0.012820513,0.115384615,0.012820513,0.080737,0.077585,0.065943,0.021652,1,1,4,3,0.138899,0.129205,0.080632,0.388649,78,883,78,1000,998,998,1000,1000,383,633,782,607,786,788,970,1000,perturbed
62,0.076923077,1,0.243589744,0.141025641,0.025641026,0.051282051,0.051282051,0.096128,0.100305,0.064588,0.049265,4,3,4,3,0.093621,0.110411,0.050559,0.381032,722,786,835,1000,1000,1000,1000,1000,478,574,774,808,724,724,973,1000,perturbed
63,0.102564103,1,0.179487179,0.076923077,0.051282051,0.076923077,0.076923077,0.106759,0.127667,0.104441,0.058721,5,2,4,2,0.152508,0.098241,0.035914,0.351048,539,544,903,1000,999,999,1000,1000,408,634,443,985,596,667,699,1000,perturbed
64,0.102564103,1,0.205128205,0.128205128,0.012820513,0.115384615,0.064102564,0.049636,0.071538,0.036919,0.056054,3,1,3,2,0.149395,0.089849,0.022639,0.361032,762,848,977,908,997,997,1000,1000,320,595,645,523,631,632,938,1000,perturbed
65,0.115384615,1,0.179487179,0.141025641,0.025641026,0.115384615,0.025641026,0.112927,0.051405,0.104214,0.032031,2,2,3,2,0.110151,0.089236,0.096491,0.395414,725,725,979,1000,999,999,1000,1000,514,653,589,957,797,797,988,1000,perturbed
66,0.076923077,1,0.179487179,0.064102564,0.038461538,0.064102564,0.025641026,0.07452,0.058141,0.041593,0.045072,2,1,3,1,0.10745,0.133405,0.060111,0.350653,590,634,763,1000,1000,1000,1000,1000,175,690,595,296,440,693,450,1000,perturbed
67,0.102564103,1,0.166666667,0.141025641,0.025641026,0.064102564,0.064102564,0.090742,0.112168,0.099013,0.047673,2,2,3,3,0.157059,0.08759,0.069335,0.344337,756,759,966,1000,999,999,1000,1000,395,661,414,987,536,536,867,1000,perturbed
68,0.115384615,1,0.166666667,0.141025641,0.012820513,0.051282051,0.025641026,0.049551,0.111092,0.049662,0.006936,3,4,5,3,0.11314,0.12033,0.045818,0.350261,771,849,989,915,1000,1000,1000,1000,226,710,537,362,558,564,890,973,perturbed
69,0.115384615,1,0.217948718,0.102564103,0.051282051,0.051282051,0.064102564,0.097568,0.067848,0.104548,0.010907,4,4,4,1,0.128277,0.097093,0.081556,0.364991,521,522,933,1000,1000,1000,1000,1000,522,583,692,981,686,704,873,981,perturbed
70,0.064102564,1,0.217948718,0.08974359,0.038461538,0.102564103,0.064102564,0.053219,0.123759,0.046411,0.027045,3,3,1,1,0.115124,0.129741,0.093837,0.404528,393,654,414,982,999,999,1000,1000,499,608,693,822,876,890,952,1000,perturbed
71,0.115384615,1,0.192307692,0.115384615,0.038461538,0.115384615,0.025641026,0.053164,0.125051,0.041489,0.042583,3,4,2,3,0.104242,0.085915,0.031683,0.40108,564,567,957,990,999,999,1000,1000,352,639,709,543,861,865,979,1000,perturbed
72,0.038461538,1,0.217948718,0.102564103,0.051282051,0.038461538,0.025641026,0.076345,0.078829,0.054216,0.017908,4,1,2,1,0.096315,0.094378,0.021804,0.404236,0,642,0,995,1000,1000,1000,1000,446,592,804,714,872,878,974,1000,perturbed
73,0.064102564,1,0.166666667,0.102564103,0.012820513,0.064102564,0.025641026,0.095081,0.050725,0.039706,0.021434,1,4,5,1,0.085656,0.107627,0.078536,0.35335,571,863,583,1000,1000,1000,1000,1000,145,706,536,227,617,635,825,1000,perturbed
74,0.08974359,1,0.179487179,0.141025641,0.025641026,0.038461538,0.012820513,0.089118,0.059559,0.078224,0.018022,3,3,2,2,0.095861,0.144378,0.023038,0.362379,752,775,907,1000,1000,1000,1000,1000,536,707,610,900,628,628,940,1000,perturbed
75,0.115384615,1,0.230769231,0.102564103,0.051282051,0.076923077,0.051282051,0.07438,0.070182,0.051086,0.054002,3,1,3,1,0.114904,0.082246,0.039273,0.392812,527,528,934,1000,999,999,1000,1000,413,559,757,698,829,835,961,1000,perturbed
76,0.08974359,1,0.217948718,0.08974359,0.012820513,0.076923077,0.025641026,0.101557,0.060438,0.03285,0.005488,1,2,3,1,0.098476,0.157359,0.045014,0.37414,833,851,937,1000,1000,1000,1000,1000,91,622,774,173,735,763,846,995,perturbed
77,0.064102564,1,0.166666667,0.076923077,0.051282051,0.102564103,0.051282051,0.074948,0.103622,0.081904,0.05465,4,2,2,2,0.123013,0.082745,0.045288,0.393288,371,612,398,996,998,998,1000,1000,410,652,439,988,829,866,890,1000,perturbed
78,0.076923077,1,0.205128205,0.115384615,0.012820513,0.076923077,0.051282051,0.066383,0.127514,0.096077,0.010469,2,4,4,2,0.115338,0.151091,0.054354,0.400564,814,857,890,1000,1000,1000,1000,1000,557,652,672,953,856,861,980,1000,perturbed
79,0.051282051,1,0.166666667,0.076923077,0.038461538,0.076923077,0.025641026,0.121727,0.091207,0.100324,0.056005,5,1,4,2,0.143022,0.145708,0.020375,0.35972,45,693,45,1000,999,999,1000,1000,490,718,533,911,647,715,752,1000,perturbed
80,0.102564103,1,0.205128205,0.115384615,0.051282051,0.076923077,0.012820513,0.077816,0.06231,0.050777,0.034741,3,3,2,1,0.090154,0.123569,0.059245,0.379959,538,545,896,1000,999,999,1000,1000,381,650,750,589,754,758,952,1000,perturbed
81,0.115384615,1,0.243589744,0.102564103,0.051282051,0.038461538,0.076923077,0.04925,0.104775,0.079539,0.059203,4,2,5,1,0.091204,0.139875,0.087165,0.351165,520,529,937,972,1000,1000,1000,1000,503,543,739,898,615,634,817,1000,perturbed
82,0.064102564,1,0.230769231,0.102564103,0.051282051,0.076923077,0.076923077,0.092189,0.113778,0.030873,0.039223,1,2,4,1,0.134539,0.086367,0.068345,0.374408,366,609,396,1000,999,999,1000,1000,258,533,711,426,743,753,913,1000,perturbed
83,0.102564103,1,0.243589744,0.076923077,0.025641026,0.064102564,0.051282051,0.119021,0.107357,0.074552,0.028351,4,1,3,3,0.106458,0.128081,0.064501,0.349698,750,754,970,1000,999,999,1000,1000,520,583,777,883,598,677,694,992,perturbed
84,0.115384615,1,0.217948718,0.064102564,0.012820513,0.051282051,0.064102564,0.111002,0.120132,0.064409,0.03145,1,3,3,3,0.151117,0.090551,0.093665,0.400096,832,834,988,1000,999,999,1000,1000,487,587,695,838,750,904,760,1000,perturbed
85,0.064102564,1,0.179487179,0.076923077,0.025641026,0.064102564,0.012820513,0.057398,0.052655,0.049165,0.04754,1,1,3,2,0.131379,0.087375,0.048201,0.356097,497,814,511,1000,1000,1000,1000,1000,221,652,615,368,627,700,731,1000,perturbed
86,0.038461538,1,0.217948718,0.064102564,0.051282051,0.064102564,0.012820513,0.093552,0.113431,0.087572,0.006703,4,3,5,2,0.123538,0.124618,0.053156,0.374849,0,645,0,1000,1000,1000,1000,1000,505,624,784,805,592,812,602,988,perturbed
87,0.051282051,1,0.179487179,0.076923077,0.025641026,0.064102564,0.025641026,0.075923,0.083989,0.032446,0.038692,3,3,3,3,0.116525,0.149166,0.095074,0.337762,55,823,55,998,1000,1000,1000,1000,80,695,596,153,518,595,607,998,perturbed
88,0.076923077,1,0.217948718,0.064102564,0.012820513,0.08974359,0.076923077,0.124186,0.093209,0.083746,0.052319,3,2,3,1,0.144944,0.109955,0.030929,0.392742,830,870,894,1000,998,998,1000,1000,514,575,673,949,711,885,720,1000,perturbed
89,0.064102564,1,0.217948718,0.076923077,0.038461538,0.102564103,0.051282051,0.066514,0.081728,0.063751,0.040362,2,3,2,2,0.133036,0.152798,0.072206,0.402794,391,653,413,1000,999,999,1000,1000,546,614,709,925,867,898,920,1000,perturbed
90,0.102564103,1,0.179487179,0.08974359,0.012820513,0.038461538,0.064102564,0.059724,0.112067,0.078729,0.022189,4,2,3,1,0.132067,0.11061,0.025472,0.340952,827,863,979,961,1000,1000,1000,1000,434,675,465,926,548,592,681,996,perturbed
91,0.076923077,1,0.166666667,0.064102564,0.025641026,0.08974359,0.025641026,0.084287,0.085256,0.097072,0.016043,4,4,2,1,0.108032,0.132883,0.033358,0.377779,730,792,840,1000,999,999,1000,1000,500,706,537,989,620,828,630,999,perturbed
92,0.115384615,1,0.217948718,0.128205128,0.025641026,0.102564103,0.012820513,0.126732,0.086034,0.074459,0.031374,4,3,5,1,0.126729,0.119959,0.065453,0.343752,746,748,981,1000,998,998,1000,1000,424,615,781,680,557,563,832,1000,perturbed
93,0.051282051,1,0.217948718,0.115384615,0.012820513,0.051282051,0.064102564,0.091084,0.06502,0.084988,0.004603,1,3,1,1,0.088811,0.142397,0.057754,0.368256,78,873,78,1000,1000,1000,1000,1000,543,615,694,988,685,698,916,973,perturbed
94,0.051282051,1,0.243589744,0.064102564,0.012820513,0.102564103,0.051282051,0.102032,0.086807,0.055892,0.005377,4,2,2,2,0.161758,0.161435,0.058968,0.389397,76,883,76,1000,999,999,1000,1000,540,598,775,875,684,867,696,987,perturbed
95,0.051282051,1,0.243589744,0.064102564,0.038461538,0.038461538,0.076923077,0.09079,0.074121,0.100222,0.032128,1,2,3,3,0.087313,0.09509,0.096046,0.403775,45,688,45,1000,1000,1000,1000,1000,504,527,740,984,764,913,773,999,perturbed
96,0.08974359,1,0.230769231,0.128205128,0.051282051,0.115384615,0.038461538,0.078769,0.124376,0.084623,0.059399,5,2,5,2,0.153817,0.093631,0.04032,0.389963,548,578,770,998,998,998,1000,1000,517,578,780,884,801,803,972,1000,perturbed
97,0.064102564,1,0.166666667,0.115384615,0.038461538,0.076923077,0.076923077,0.094086,0.076721,0.035947,0.054592,4,2,3,2,0.15492,0.136354,0.035405,0.339152,391,656,413,1000,1000,1000,1000,1000,277,646,396,534,533,538,801,1000,perturbed
98,0.064102564,1,0.243589744,0.128205128,0.051282051,0.102564103,0.038461538,0.121828,0.105493,0.085114,0.004422,3,1,1,2,0.154565,0.105414,0.023761,0.38399,366,608,396,1000,999,999,1000,1000,562,583,801,981,753,769,965,971,perturbed
99,0.115384615,1,0.166666667,0.115384615,0.025641026,0.115384615,0.076923077,0.092729,0.061027,0.090674,0.025723,3,1,2,2,0.100369,0.085622,0.083825,0.388556,726,727,980,1000,999,999,1000,1000,375,627,397,994,808,811,966,1000,perturbed
100,0.08974359,1,0.243589744,0.08974359,0.025641026,0.051282051,0.064102564,0.079672,0.059112,0.037719,0.024147,2,1,2,1,0.099436,0.146642,0.09043,0.400201,749,771,905,1000,999,999,1000,1000,452,573,756,722,866,878,946,1000,perturbed
101,0.102564103,1,0.166666667,0.064102564,0.012820513,0.115384615,0.038461538,0.127276,0.110728,0.108533,0.013749,1,4,4,2,0.085084,0.107216,0.076953,0.395091,815,818,977,1000,998,998,1000,1000,461,699,488,977,723,890,735,1000,perturbed
102,0.051282051,1,0.217948718,0.141025641,0.038461538,0.102564103,0.064102564,0.103119,0.054102,0.064779,0.053848,1,3,3,3,0.126883,0.154012,0.093849,0.353694,46,674,46,1000,999,999,1000,1000,509,614,692,849,579,582,906,1000,perturbed
103,0.115384615,1,0.192307692,0.102564103,0.051282051,0.08974359,0.064102564,0.104461,0.057489,0.099865,0.059722,2,4,3,1,0.122845,0.116837,0.07467,0.350879,499,499,957,1000,999,999,1000,1000,526,645,614,987,607,624,816,1000,perturbed
104,0.064102564,1,0.205128205,0.115384615,0.051282051,0.102564103,0.012820513,0.114352,0.080555,0.038186,0.048131,5,3,3,3,0.103791,0.1379,0.057835,0.343339,364,603,396,1000,999,999,1000,1000,101,632,751,196,560,566,814,1000,perturbed
