Sample,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC
162,0,904.5,0,933.1,932.7,1000,1000,932.7,0,813.3,0,929.7,971.1,972.6,994,1000
1077,773.1,774.4,997.5,997.9,995.8,995.8,1000,1000,551.8,670.3,700.8,845.7,604.6,604.6,959.6,1000
1725,839.5,862,940.8,992.4,985.6,985.6,1000,1000,288,730.8,289.3,897.2,0,787.5,0,1000
1713,684.2,726.1,977.4,938.8,987.7,987.7,1000,1000,446.5,549.8,845.3,724.3,813.9,819.6,948.2,998.4
1939,811.4,860.9,881.8,999.6,1000,1000,1000,1000,546.2,675.1,701.7,847.7,696.3,708.1,875.8,998.1
2191,758,841,977,909,995,995,1000,1000,545,625,782,873,677,686,936,977
2290,847,865,941,989,989,989,1000,1000,0,689,0,557,0,843,0,1000
2360,847,865,941,989,989,989,1000,1000,0,689,0,557,0,843,0,1000
