Sample,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC
176,586,590,936,1000,973,973,1000,1000,122,456,892,231,736,739,954,1000
177,291,437,903,555,978,978,1000,1000,149,522,865,268,900,902,996,998
178,587,593,995,972,977,977,1000,1000,465,490,882,894,786,815,889,992
179,677,822,986,830,977,977,1000,1000,536,584,733,961,858,858,993,1000
180,525,532,892,1000,974,974,1000,1000,19,512,872,41,910,913,993,995
181,496,496,957,1000,978,978,1000,1000,553,607,786,914,505,750,515,959
182,468,521,668,998,978,978,1000,1000,209,440,752,337,770,775,958,1000
183,467,518,664,1000,979,979,1000,1000,366,530,738,640,904,904,997,1000
184,536,540,976,983,974,974,1000,1000,477,522,791,867,878,907,962,966
185,564,564,958,998,978,978,1000,1000,1,533,912,4,696,697,965,1000
186,585,625,762,998,977,977,1000,1000,468,542,740,814,613,825,623,1000
187,598,731,981,800,974,974,1000,1000,439,607,806,700,728,737,901,1000
188,468,493,730,993,974,974,1000,1000,299,401,901,629,808,810,968,1000
189,755,775,904,1000,978,978,1000,1000,382,576,798,616,794,802,951,1000
190,438,457,881,940,977,977,1000,1000,274,589,827,432,782,783,984,996
191,694,796,996,872,979,979,1000,1000,257,506,893,435,843,877,904,1000
192,838,855,938,1000,973,973,1000,1000,447,456,883,924,677,728,815,963
193,225,455,991,301,978,978,1000,1000,139,472,854,214,791,836,862,1000
194,217,574,772,329,977,977,1000,1000,364,509,737,659,873,886,948,1000
195,700,702,981,996,974,974,1000,1000,123,433,878,206,678,744,791,973
196,784,801,995,976,974,974,1000,1000,196,480,756,349,750,904,760,1000
197,724,724,977,1000,978,978,1000,1000,529,554,781,963,899,899,996,1000
198,279,498,729,472,977,977,1000,1000,57,528,865,108,629,634,901,997
199,489,489,992,991,980,980,1000,1000,517,541,818,951,899,899,997,1000
200,498,524,892,956,973,973,1000,1000,424,517,754,764,916,916,997,1000
201,566,624,842,901,978,978,1000,1000,4,609,825,4,445,695,453,1000
202,241,817,889,326,977,977,1000,1000,447,537,770,782,880,881,990,1000
203,463,465,978,985,974,974,1000,1000,415,431,903,912,833,840,963,1000
204,500,500,954,1000,974,974,1000,1000,505,533,758,975,910,927,955,1000
205,583,624,757,1000,978,978,1000,1000,64,433,826,114,780,782,970,999
206,469,495,729,1000,977,977,1000,1000,178,458,903,321,926,933,975,1000
207,546,574,777,1000,980,980,1000,1000,215,517,856,343,667,849,683,1000
208,129,779,910,143,973,973,1000,1000,482,519,887,867,518,765,524,973
209,460,462,880,1000,978,978,1000,1000,549,579,801,956,666,673,907,997
210,96,468,838,138,977,977,1000,1000,13,559,781,22,705,712,933,987
211,559,567,968,974,974,974,1000,1000,513,536,827,933,445,697,454,1000
212,55,597,707,70,974,974,1000,1000,39,534,904,79,814,933,818,996
213,349,721,978,427,978,978,1000,1000,460,531,738,824,881,929,972,947
214,270,497,995,340,977,977,1000,1000,394,542,840,691,682,744,788,987
215,293,564,961,442,979,979,1000,1000,394,572,853,682,760,762,960,1000
216,590,609,835,998,973,973,1000,1000,351,486,855,584,589,654,907,874
217,434,440,903,973,978,978,1000,1000,268,585,800,413,605,628,887,957
218,385,391,970,981,977,977,1000,1000,522,545,770,983,907,907,997,1000
219,649,719,968,885,974,974,1000,1000,165,445,788,263,557,784,562,996
220,591,635,758,1000,974,974,1000,1000,459,479,883,899,839,879,905,980
221,601,666,995,864,978,978,1000,1000,3,599,832,6,799,928,813,971
222,466,471,839,1000,977,977,1000,1000,458,467,824,975,761,767,930,1000
223,125,638,761,177,979,979,1000,1000,527,610,801,842,786,788,966,1000
224,406,406,951,1000,973,973,1000,1000,504,513,863,972,917,917,997,1000
225,399,802,992,514,978,978,1000,1000,434,473,900,849,719,885,728,1000
226,0,800,995,0,977,977,1000,1000,316,571,804,466,722,726,933,998
227,455,456,991,997,974,974,1000,1000,204,551,898,346,789,922,801,978
228,471,497,731,999,974,974,1000,1000,494,508,789,985,716,769,810,1000
229,710,713,979,993,978,978,1000,1000,135,589,831,221,816,829,958,987
230,447,537,896,775,977,977,1000,1000,14,535,905,28,794,794,989,1000
231,758,766,995,987,979,979,1000,1000,389,547,803,622,673,674,953,1000
232,101,548,900,118,973,973,1000,1000,3,586,842,6,713,769,807,1000
233,241,406,952,431,978,978,1000,1000,222,496,846,345,719,773,813,1000
234,392,674,987,501,977,977,1000,1000,452,591,783,733,843,875,905,1000
235,484,502,957,938,974,974,1000,1000,178,541,886,259,580,583,905,993
236,792,854,891,960,974,974,1000,1000,467,573,856,789,604,610,849,1000
237,171,499,990,219,978,978,1000,1000,513,578,830,859,774,834,862,959
238,109,862,938,149,977,977,1000,1000,132,549,875,198,622,628,882,1000
239,74,740,901,101,979,979,1000,1000,508,523,819,971,910,915,996,994
240,5,839,988,5,973,973,1000,1000,343,505,883,547,635,653,833,999
241,674,678,994,989,978,978,1000,1000,271,582,831,461,643,648,903,1000
242,513,744,961,666,977,977,1000,1000,77,588,853,148,883,884,989,1000
243,463,534,934,840,974,974,1000,1000,468,535,846,813,597,599,916,998
244,447,460,881,959,974,974,1000,1000,375,537,820,629,856,911,939,944
245,801,820,988,976,978,978,1000,1000,27,538,854,44,847,945,850,1000
246,398,400,971,992,977,977,1000,1000,543,602,781,897,847,945,849,997
247,402,744,982,500,979,979,1000,1000,428,522,740,732,515,747,522,1000
248,457,457,978,1000,974,974,1000,1000,5,548,772,19,752,755,958,988
249,326,464,980,522,978,978,1000,1000,526,556,755,969,845,886,901,1000
250,401,406,953,971,977,977,1000,1000,87,523,824,171,823,831,955,1000
251,596,658,995,840,974,974,1000,1000,445,501,803,805,832,942,839,986
252,538,566,773,989,974,974,1000,1000,284,542,853,446,802,802,988,1000
253,601,607,992,981,979,979,1000,1000,233,459,861,445,934,934,993,1000
254,432,434,903,997,977,977,1000,1000,555,607,817,909,909,927,991,980
255,529,541,978,945,979,979,1000,1000,485,562,899,843,776,824,850,1000
256,587,591,940,993,973,973,1000,1000,133,577,773,199,700,874,710,1000
257,280,710,988,359,978,978,1000,1000,249,461,754,459,587,591,907,1000
258,363,794,996,479,978,978,1000,1000,461,550,711,811,840,846,964,1000
259,659,661,995,991,974,974,1000,1000,352,423,843,705,699,700,944,999
260,498,498,953,1000,974,974,1000,1000,300,529,912,521,830,831,975,1000
261,531,541,899,983,978,978,1000,1000,257,505,869,393,508,659,879,744
262,528,534,894,1000,977,977,1000,1000,298,470,883,542,926,926,993,1000
263,498,498,995,995,979,979,1000,1000,237,511,756,350,605,744,827,808
264,457,517,664,931,973,973,1000,1000,481,533,735,886,856,856,993,1000
265,778,826,987,944,978,978,1000,1000,59,542,739,101,907,923,955,1000
266,450,629,756,700,978,978,1000,1000,378,423,853,773,932,936,993,994
267,576,576,966,1000,974,974,1000,1000,390,574,857,656,632,836,642,1000
268,473,473,992,999,974,974,1000,1000,494,519,879,887,925,925,996,1000
269,349,567,958,516,978,978,1000,1000,207,484,881,330,840,848,965,1000
270,412,413,954,991,977,977,1000,1000,519,533,900,963,615,696,707,1000
271,471,634,761,715,980,980,1000,1000,346,512,846,549,895,906,961,1000
272,582,586,936,1000,973,973,1000,1000,222,545,854,342,690,693,938,999
273,321,587,939,494,978,978,1000,1000,481,493,872,957,710,723,896,999
274,740,753,962,985,977,977,1000,1000,489,547,881,846,812,822,952,1000
275,564,621,833,904,974,974,1000,1000,413,576,804,668,782,784,981,1000
276,626,794,997,781,974,974,1000,1000,103,514,848,157,791,842,859,985
277,441,441,904,1000,978,978,1000,1000,289,489,907,514,743,807,819,995
278,700,700,988,1000,977,977,1000,1000,506,532,769,942,879,885,975,1000
279,477,499,729,988,979,979,1000,1000,469,497,863,895,902,908,989,991
280,369,500,953,638,973,973,1000,1000,474,496,816,910,865,866,990,1000
281,437,438,903,1000,978,978,1000,1000,466,490,785,902,914,922,972,1000
282,7,719,977,9,977,977,1000,1000,453,557,773,726,935,936,992,1000
283,238,828,992,305,974,974,1000,1000,372,498,875,619,518,763,527,1000
284,361,465,839,725,974,974,1000,1000,242,480,851,376,679,681,933,991
285,42,491,954,52,978,978,1000,1000,377,410,841,816,860,866,983,999
286,708,756,907,947,977,977,1000,1000,476,488,824,948,671,704,923,940
287,24,850,937,34,979,979,1000,1000,13,511,872,27,751,753,960,1000
288,453,501,990,780,973,973,1000,1000,502,549,712,948,808,929,813,1000
289,454,463,835,990,978,978,1000,1000,326,517,818,506,914,914,995,1000
290,406,717,996,565,977,977,1000,1000,72,512,898,119,906,923,951,1000
291,411,412,970,995,974,974,1000,1000,26,569,881,54,759,768,921,1000
292,609,633,837,1000,974,974,1000,1000,243,602,805,374,617,617,929,1000
293,410,410,951,1000,978,978,1000,1000,9,474,843,26,784,786,971,1000
294,467,520,668,1000,977,977,1000,1000,409,472,810,764,666,685,935,964
295,546,574,776,1000,979,979,1000,1000,422,482,754,821,926,933,976,1000
296,542,542,976,1000,973,973,1000,1000,447,554,708,775,725,729,939,1000
297,734,737,959,1000,978,978,1000,1000,506,530,846,924,859,863,985,998
298,19,463,992,19,977,977,1000,1000,505,535,739,989,885,890,980,1000
299,501,504,992,985,974,974,1000,1000,522,581,825,874,601,674,702,1000
300,795,812,991,977,974,974,1000,1000,257,431,786,430,816,816,990,1000
301,519,521,934,1000,978,978,1000,1000,480,532,757,865,731,788,817,1000
302,724,736,960,977,977,977,1000,1000,64,533,874,100,885,893,979,995
303,440,454,979,936,980,980,1000,1000,312,528,823,554,827,827,992,1000
304,540,540,976,1000,973,973,1000,1000,156,563,756,242,814,853,968,952
305,170,538,980,223,978,978,1000,1000,524,563,806,892,456,704,466,994
306,516,527,933,979,977,977,1000,1000,323,513,911,564,835,838,983,1000
307,660,662,995,996,975,975,1000,1000,99,577,849,168,643,712,746,1000
308,834,851,935,1000,974,974,1000,1000,422,606,804,674,794,795,973,1000
309,13,584,937,13,978,978,1000,1000,34,486,757,73,930,937,977,1000
310,316,460,991,532,977,977,1000,1000,326,541,895,559,925,932,974,1000
311,514,515,937,1000,979,979,1000,1000,429,446,784,894,557,661,766,851
312,744,773,991,964,973,973,1000,1000,7,440,896,17,753,755,958,1000
313,597,640,758,999,978,978,1000,1000,445,493,887,839,658,666,896,998
314,742,767,908,982,977,977,1000,1000,307,480,827,531,789,923,797,1000
315,601,743,834,832,977,977,1000,1000,446,464,895,898,863,865,987,1000
316,50,537,977,52,974,974,1000,1000,488,510,788,946,787,796,964,980
317,486,486,995,1000,979,979,1000,1000,529,591,783,864,795,840,864,1000
318,412,848,978,506,978,978,1000,1000,393,485,815,676,585,808,595,1000
319,688,700,962,976,979,979,1000,1000,493,528,729,928,890,903,955,1000
320,513,540,978,890,973,973,1000,1000,4,516,911,14,687,873,697,1000
321,537,537,977,1000,978,978,1000,1000,477,538,737,861,803,803,988,1000
322,593,813,986,727,977,977,1000,1000,277,531,905,471,884,884,993,1000
323,506,506,975,1000,974,974,1000,1000,74,503,900,119,712,712,966,998
324,456,456,991,1000,974,974,1000,1000,179,497,808,274,740,740,973,1000
325,464,512,665,1000,979,979,1000,1000,451,578,797,716,899,901,993,998
326,432,434,903,996,977,977,1000,1000,74,465,879,120,571,600,913,926
327,16,556,961,16,980,980,1000,1000,465,549,905,815,630,638,903,983
328,167,715,979,213,973,973,1000,1000,384,445,754,767,774,779,958,1000
329,610,633,835,1000,978,978,1000,1000,0,565,880,0,651,662,847,1000
330,1,778,991,4,977,977,1000,1000,266,513,756,444,829,834,961,1000
331,387,838,936,493,975,975,1000,1000,383,514,881,655,776,778,981,1000
332,330,754,837,451,974,974,1000,1000,547,573,793,964,612,650,755,999
333,457,507,665,970,979,979,1000,1000,443,472,811,899,867,880,947,1000
334,532,532,977,1000,977,977,1000,1000,518,585,756,862,886,900,956,998
335,198,797,993,274,979,979,1000,1000,307,608,781,479,911,911,996,1000
336,339,487,992,492,973,973,1000,1000,379,548,846,660,935,935,993,1000
337,505,505,953,998,978,978,1000,1000,453,469,737,948,646,651,908,1000
338,526,586,706,968,977,977,1000,1000,307,482,867,500,766,818,839,999
339,193,461,991,262,974,974,1000,1000,95,590,832,189,906,909,988,1000
340,479,494,993,919,974,974,1000,1000,521,546,854,924,899,915,950,998
341,519,736,959,694,978,978,1000,1000,286,561,867,471,908,908,993,1000
342,529,532,976,979,977,977,1000,1000,346,579,801,545,804,805,990,996
343,482,504,730,1000,979,979,1000,1000,402,536,739,700,637,653,832,1000
344,648,830,976,782,974,974,1000,1000,36,480,847,69,660,661,953,1000
345,661,662,995,992,978,978,1000,1000,231,550,837,392,591,595,908,1000
346,456,459,880,1000,977,977,1000,1000,471,543,795,817,603,620,815,988
347,309,309,952,1000,974,974,1000,1000,446,522,883,770,915,930,959,1000
348,443,687,962,610,974,974,1000,1000,0,515,912,0,805,806,975,1000
349,810,824,988,986,978,978,1000,1000,398,501,759,693,885,911,930,1000
350,530,588,705,976,977,977,1000,1000,51,456,884,98,639,654,834,1000
351,468,471,840,1000,980,980,1000,1000,297,519,755,457,711,890,989,796
352,454,459,837,981,973,973,1000,1000,313,509,841,511,914,914,993,1000
353,465,465,981,999,978,978,1000,1000,452,525,867,786,519,764,525,1000
354,379,459,979,640,977,977,1000,1000,267,429,822,495,768,773,954,1000
355,538,539,977,998,974,974,1000,1000,464,546,802,782,874,899,927,1000
356,516,536,892,957,974,974,1000,1000,418,432,864,895,915,916,993,996
357,445,445,902,1000,978,978,1000,1000,350,594,780,512,782,790,942,1000
358,408,412,954,985,977,977,1000,1000,197,490,824,312,700,763,794,997
359,542,542,976,1000,979,979,1000,1000,346,502,831,595,716,718,949,1000
360,59,497,958,73,973,973,1000,1000,1,514,897,5,636,704,743,998
361,494,494,990,1000,978,978,1000,1000,442,448,789,988,931,941,971,1000
362,392,392,970,1000,977,977,1000,1000,294,592,831,459,897,919,941,1000
363,449,462,978,921,974,974,1000,1000,489,507,846,928,823,836,974,977
364,119,488,730,207,974,974,1000,1000,532,566,789,940,895,895,993,1000
365,135,849,934,161,978,978,1000,1000,422,465,802,838,815,815,990,1000
366,492,499,955,977,977,977,1000,1000,427,451,890,877,629,646,828,1000
367,772,820,989,944,979,979,1000,1000,446,545,857,729,705,716,931,977
368,738,842,977,878,973,973,1000,1000,498,584,806,818,746,805,824,984
369,598,620,832,1000,978,978,1000,1000,517,538,770,974,913,930,975,982
370,61,737,981,70,977,977,1000,1000,134,544,897,231,610,618,850,1000
371,525,529,933,987,975,975,1000,1000,392,413,903,866,871,876,973,1000
372,15,576,773,15,974,974,1000,1000,406,549,796,723,741,741,971,1000
373,381,700,988,495,978,978,1000,1000,257,524,883,399,807,927,813,1000
