Sample,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC
0,467,590,706,811,973,973,1000,1000,523,553,770,951,722,723,968,1000
1,563,566,937,996,978,978,1000,1000,386,502,855,640,805,809,970,1000
2,160,782,996,197,978,978,1000,1000,465,484,822,920,712,712,968,1000
3,241,809,997,310,975,975,1000,1000,70,500,757,110,610,653,754,1000
4,195,496,955,274,974,974,1000,1000,1,555,898,3,656,670,844,1000
5,466,517,665,993,979,979,1000,1000,483,522,809,907,745,900,756,1000
6,521,585,704,946,977,977,1000,1000,408,535,905,713,869,869,993,1000
7,244,754,967,276,979,979,1000,1000,501,596,782,789,768,913,777,1000
8,831,834,977,1000,973,973,1000,1000,484,509,805,912,837,853,926,1000
9,560,561,961,997,978,978,1000,1000,245,527,756,352,774,913,783,1000
10,641,667,992,934,977,977,1000,1000,444,557,758,712,852,852,993,1000
11,440,503,958,789,975,975,1000,1000,218,475,755,328,601,641,743,1000
12,764,846,936,915,974,974,1000,1000,497,539,830,874,817,842,904,998
13,492,492,992,1000,978,978,1000,1000,439,498,869,798,690,690,963,999
14,708,712,994,989,977,977,1000,1000,473,507,823,878,858,863,980,1000
15,477,498,730,1000,980,980,1000,1000,337,570,877,568,897,913,962,989
16,133,624,992,170,973,973,1000,1000,417,504,801,730,749,749,974,1000
17,99,540,900,155,978,978,1000,1000,509,553,708,971,758,759,964,999
18,456,459,881,1000,977,977,1000,1000,418,532,739,696,829,937,834,994
19,521,522,933,1000,974,974,1000,1000,5,576,852,12,888,888,993,1000
20,490,490,955,1000,974,974,1000,1000,3,551,855,6,617,657,755,1000
21,822,822,995,1000,978,978,1000,1000,396,602,826,646,576,810,583,1000
22,474,527,668,1000,977,977,1000,1000,45,605,820,71,669,734,769,1000
23,467,517,663,999,980,980,1000,1000,453,535,849,795,896,898,990,1000
24,489,489,993,1000,973,973,1000,1000,58,521,895,114,905,916,964,1000
25,449,458,991,928,978,978,1000,1000,480,513,863,879,809,814,971,1000
26,419,441,991,869,977,977,1000,1000,426,430,891,960,599,605,842,1000
27,459,509,665,999,977,977,1000,1000,489,528,892,876,783,829,847,1000
28,3,808,991,3,974,974,1000,1000,1,576,870,4,936,945,974,1000
29,494,494,954,998,978,978,1000,1000,498,513,866,953,747,751,948,998
30,393,685,978,536,977,977,1000,1000,277,516,854,419,914,923,971,1000
31,417,417,952,1000,980,980,1000,1000,305,506,912,540,631,647,832,1000
32,374,526,937,620,973,973,1000,1000,262,409,853,485,683,720,809,1000
33,506,507,935,1000,978,978,1000,1000,488,553,770,833,866,898,918,1000
34,699,699,987,1000,979,979,1000,1000,343,457,861,606,769,770,981,1000
35,593,637,757,1000,974,974,1000,1000,36,604,758,58,910,919,967,1000
36,471,524,668,1000,974,974,1000,1000,302,548,707,458,818,819,974,1000
37,716,776,834,1000,979,979,1000,1000,411,447,806,846,908,908,996,1000
38,318,435,904,605,978,978,1000,1000,443,452,809,950,622,629,868,1000
39,2,833,892,5,980,980,1000,1000,162,538,833,241,806,836,899,1000
40,485,547,896,861,973,973,1000,1000,112,447,786,199,789,814,887,1000
41,818,819,986,1000,978,978,1000,1000,217,550,892,364,926,938,968,1000
42,460,467,838,998,978,978,1000,1000,258,544,711,422,896,909,961,1000
43,667,669,993,997,977,977,1000,1000,457,488,789,896,741,748,910,1000
44,485,485,994,1000,974,974,1000,1000,1,466,909,1,873,886,950,1000
45,202,443,902,338,978,978,1000,1000,385,447,819,770,931,938,980,1000
46,722,724,979,995,977,977,1000,1000,435,478,857,803,666,678,855,1000
47,598,623,837,986,979,979,1000,1000,290,523,871,472,926,926,995,1000
48,367,434,904,795,973,973,1000,1000,541,562,800,965,918,918,997,1000
49,0,817,995,0,978,978,1000,1000,237,539,740,377,660,688,867,956
50,459,506,666,999,977,977,1000,1000,81,579,772,123,725,772,981,923
51,308,584,936,470,974,974,1000,1000,1,524,913,5,763,765,963,1000
52,367,525,975,574,974,974,1000,1000,409,518,820,716,873,880,992,988
53,611,632,838,1000,978,978,1000,1000,513,541,757,962,727,788,816,984
54,176,637,756,221,978,978,1000,1000,146,457,881,220,812,812,990,1000
55,755,777,904,998,979,979,1000,1000,514,540,854,921,884,915,938,980
56,309,660,992,385,974,974,1000,1000,381,485,826,658,880,886,978,997
57,24,519,933,24,978,978,1000,1000,307,463,891,570,748,748,975,1000
58,39,505,667,40,977,977,1000,1000,197,580,756,317,803,809,966,995
59,291,781,995,380,977,977,1000,1000,385,409,826,843,781,799,966,967
60,537,776,987,689,974,974,1000,1000,476,512,833,860,746,778,848,1000
61,711,781,836,964,978,978,1000,1000,439,467,801,902,766,775,928,1000
62,567,567,964,1000,977,977,1000,1000,406,555,820,700,649,846,662,1000
63,758,758,996,1000,980,980,1000,1000,381,421,806,796,837,842,966,1000
64,829,845,937,997,974,974,1000,1000,461,500,898,865,790,792,971,1000
65,157,517,934,255,978,978,1000,1000,2,558,877,2,728,733,938,1000
66,400,407,953,976,977,977,1000,1000,404,450,824,800,807,935,817,977
67,102,499,955,134,975,975,1000,1000,413,534,799,673,912,914,989,1000
68,457,459,880,1000,974,974,1000,1000,67,513,911,145,868,871,987,1000
69,760,774,995,979,978,978,1000,1000,400,534,892,691,883,884,992,1000
70,299,458,991,438,977,977,1000,1000,408,432,901,851,617,624,890,984
71,730,748,961,974,979,979,1000,1000,153,526,902,273,804,813,950,1000
72,225,462,839,400,973,973,1000,1000,150,584,818,246,832,839,963,1000
73,465,515,668,995,978,978,1000,1000,464,473,864,940,647,658,890,981
74,795,813,991,978,977,977,1000,1000,477,547,898,826,771,772,981,1000
75,494,496,989,992,974,974,1000,1000,435,553,866,742,894,894,993,1000
76,590,637,759,987,974,974,1000,1000,389,523,826,675,744,900,754,1000
77,350,642,995,462,978,978,1000,1000,499,546,874,868,761,769,924,1000
78,398,398,971,1000,977,977,1000,1000,235,467,897,372,831,854,921,1000
79,354,646,762,512,980,980,1000,1000,392,487,883,677,558,677,775,826
80,409,409,951,998,973,973,1000,1000,112,453,866,181,900,904,985,1000
81,756,776,907,993,978,978,1000,1000,494,553,872,843,744,775,855,992
82,476,477,995,992,979,979,1000,1000,67,469,856,112,813,935,817,1000
83,668,668,995,1000,974,974,1000,1000,145,491,791,233,615,658,756,998
84,535,592,704,1000,974,974,1000,1000,0,570,869,0,845,849,968,1000
85,403,446,991,785,978,978,1000,1000,462,553,882,814,925,932,975,1000
86,411,411,952,1000,977,977,1000,1000,472,531,903,849,847,850,976,1000
87,487,487,995,986,979,979,1000,1000,303,507,853,504,573,628,891,877
88,0,814,995,0,973,973,1000,1000,522,559,759,938,661,854,674,1000
89,394,394,969,999,978,978,1000,1000,77,466,820,169,803,806,973,1000
90,145,448,991,167,977,977,1000,1000,71,502,868,111,690,735,819,994
91,459,460,879,1000,974,974,1000,1000,535,579,756,939,855,875,974,971
92,472,525,669,1000,974,974,1000,1000,103,559,820,155,790,798,948,991
93,28,658,989,33,978,978,1000,1000,1,587,831,4,787,837,852,1000
94,559,626,836,867,977,977,1000,1000,434,459,867,849,818,840,910,1000
95,468,471,840,993,979,979,1000,1000,287,427,891,504,837,874,890,1000
96,456,456,979,990,973,973,1000,1000,498,525,757,968,684,878,715,933
97,679,683,966,991,977,977,1000,1000,290,487,895,505,620,639,831,985
98,402,611,836,620,978,978,1000,1000,170,449,892,278,921,928,974,1000
99,468,468,978,1000,974,974,1000,1000,142,490,828,220,914,923,970,1000
100,600,624,835,996,974,974,1000,1000,473,477,897,977,880,893,951,1000
101,238,755,905,282,978,978,1000,1000,8,589,731,24,606,615,855,979
102,729,835,935,877,977,977,1000,1000,412,516,865,687,934,934,995,1000
103,817,819,991,999,980,980,1000,1000,480,484,885,982,855,886,915,1000
104,438,493,990,740,973,973,1000,1000,421,495,894,786,879,879,994,1000
105,388,388,970,1000,978,978,1000,1000,1,523,913,8,902,919,954,1000
106,699,764,835,967,977,977,1000,1000,175,545,797,265,667,706,801,1000
107,471,494,732,997,977,977,1000,1000,405,475,823,751,909,940,970,963
108,550,593,940,912,974,974,1000,1000,164,588,805,234,654,798,817,841
109,18,591,707,18,978,978,1000,1000,505,579,731,872,924,937,962,1000
110,810,811,987,1000,977,977,1000,1000,505,579,838,838,929,941,972,997
111,825,838,976,988,980,980,1000,1000,453,537,739,804,884,896,955,1000
112,170,595,939,201,973,973,1000,1000,300,456,856,514,705,762,803,998
113,524,582,704,981,978,978,1000,1000,317,466,862,540,828,828,994,1000
114,404,404,953,997,977,977,1000,1000,0,534,864,2,755,759,953,1000
115,440,443,905,994,974,974,1000,1000,157,512,881,233,637,658,841,974
116,0,763,995,0,974,974,1000,1000,157,553,770,241,706,709,925,999
117,409,522,934,695,978,978,1000,1000,333,471,814,628,728,892,738,1000
118,21,666,995,24,977,977,1000,1000,382,451,869,705,765,772,929,1000
119,440,511,664,908,979,979,1000,1000,430,573,771,664,653,848,666,1000
120,659,665,992,985,973,973,1000,1000,14,557,731,31,876,876,994,1000
121,727,728,979,1000,978,978,1000,1000,388,524,756,674,704,707,945,1000
122,323,438,905,623,978,978,1000,1000,0,524,910,0,736,796,816,1000
123,806,806,995,1000,974,974,1000,1000,67,570,870,125,765,908,774,1000
124,27,620,995,27,974,974,1000,1000,273,479,860,439,610,825,620,993
125,194,619,993,224,978,978,1000,1000,144,551,794,222,687,699,869,1000
126,542,567,775,1000,977,977,1000,1000,46,499,821,77,900,900,993,1000
127,443,444,906,998,979,979,1000,1000,183,544,740,284,640,839,652,1000
128,580,791,835,762,973,973,1000,1000,560,600,781,927,585,590,864,995
129,490,494,994,981,978,978,1000,1000,552,603,822,918,862,880,941,1000
130,551,743,961,719,978,978,1000,1000,187,530,895,322,834,849,979,976
131,451,469,980,929,974,974,1000,1000,141,446,886,267,557,786,562,984
132,289,776,996,384,974,974,1000,1000,498,516,900,931,911,911,997,1000
133,472,522,665,1000,978,978,1000,1000,97,510,784,153,528,774,533,999
134,467,521,668,1000,977,977,1000,1000,492,511,881,933,827,828,992,999
135,532,537,899,996,980,980,1000,1000,30,514,893,61,827,850,916,1000
136,600,622,834,994,973,973,1000,1000,74,533,911,144,864,870,973,1000
137,798,814,991,979,978,978,1000,1000,251,606,803,418,836,836,992,1000
138,419,830,989,518,977,977,1000,1000,369,568,771,555,678,723,815,1000
139,160,573,959,199,977,977,1000,1000,470,571,820,779,791,795,961,1000
140,39,516,669,44,974,974,1000,1000,413,468,854,778,909,913,987,1000
141,590,641,763,950,978,978,1000,1000,422,436,858,920,524,761,529,998
142,276,412,954,544,978,978,1000,1000,13,412,906,36,635,702,739,1000
143,480,501,730,1000,980,980,1000,1000,144,453,905,273,807,807,990,1000
144,310,545,895,518,973,973,1000,1000,13,535,825,22,931,932,992,1000
145,531,537,897,997,978,978,1000,1000,456,552,875,781,817,817,991,1000
146,449,449,991,1000,977,977,1000,1000,295,556,842,512,924,924,996,1000
147,6,813,991,12,975,975,1000,1000,419,524,757,704,890,895,979,1000
148,484,484,993,1000,974,974,1000,1000,486,571,869,821,810,811,977,1000
149,496,496,955,994,978,978,1000,1000,391,498,881,662,658,672,848,1000
150,192,669,995,233,977,977,1000,1000,393,534,851,617,676,867,686,1000
151,186,793,996,260,979,979,1000,1000,147,498,874,266,913,929,957,1000
152,345,846,977,427,973,973,1000,1000,199,578,851,340,749,759,919,984
153,596,617,834,1000,978,978,1000,1000,398,484,871,687,788,834,857,1000
154,455,455,979,999,978,978,1000,1000,156,470,794,288,801,804,968,1000
155,695,846,888,829,974,974,1000,1000,412,424,877,894,863,866,985,1000
156,493,494,953,993,974,974,1000,1000,448,548,853,759,876,880,976,1000
157,527,573,774,931,978,978,1000,1000,23,496,767,48,833,840,960,1000
158,736,743,988,990,977,977,1000,1000,139,523,848,253,658,723,756,1000
159,612,612,994,1000,980,980,1000,1000,535,554,793,982,808,852,868,1000
160,534,850,888,666,973,973,1000,1000,340,536,883,522,817,819,979,1000
161,463,463,978,998,978,978,1000,1000,284,544,769,454,862,865,985,1000
162,330,786,996,427,977,977,1000,1000,456,536,874,788,866,870,973,1000
163,549,579,775,1000,974,974,1000,1000,460,535,739,822,763,839,974,898
164,545,571,773,1000,974,974,1000,1000,342,555,897,580,851,948,853,1000
165,41,542,977,47,978,978,1000,1000,416,442,807,868,816,827,956,1000
166,264,535,977,380,978,978,1000,1000,512,528,865,955,730,731,971,992
167,472,528,978,807,979,979,1000,1000,458,466,863,960,618,661,764,1000
168,475,501,953,891,973,973,1000,1000,61,554,789,95,866,866,993,1000
169,494,494,993,997,978,978,1000,1000,506,531,806,930,851,856,969,1000
170,672,789,835,870,978,978,1000,1000,7,547,895,18,793,822,894,988
171,449,459,879,962,977,977,1000,1000,2,507,909,7,810,833,990,958
172,15,562,959,18,974,974,1000,1000,57,519,754,95,828,940,830,999
173,432,446,991,935,978,978,1000,1000,496,534,713,958,807,929,813,1000
174,761,761,994,1000,977,977,1000,1000,0,564,867,3,931,940,972,1000
175,803,856,897,972,979,979,1000,1000,62,420,878,108,596,817,605,1000
